Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Genotoxicity	Carcinogenicity	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Time	TimeUnit	Replicate	Characteristics.Vehicle.	array_file	control_file	final_array_name
hydroxyzine_0_8h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017230009.CEL		study23_CHEMBL896_0uM_8h_1
hydroxyzine_0_8h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017230010.CEL		study23_CHEMBL896_0uM_8h_2
hydroxyzine_6_8h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_1	6	uM	8	h	1	NA	tg_gates_003017230011.CEL	tg_gates_003017230009.CEL	study23_CHEMBL896_6uM_8h_1
hydroxyzine_6_8h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_2	6	uM	8	h	2	NA	tg_gates_003017230012.CEL	tg_gates_003017230010.CEL	study23_CHEMBL896_6uM_8h_2
hydroxyzine_30_8h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_1	30	uM	8	h	1	NA	tg_gates_003017230013.CEL	tg_gates_003017230009.CEL	study23_CHEMBL896_30uM_8h_1
hydroxyzine_30_8h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_2	30	uM	8	h	2	NA	tg_gates_003017230014.CEL	tg_gates_003017230010.CEL	study23_CHEMBL896_30uM_8h_2
hydroxyzine_150_8h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_1	150	uM	8	h	1	NA	tg_gates_003017230015.CEL	tg_gates_003017230009.CEL	study23_CHEMBL896_150uM_8h_1
hydroxyzine_150_8h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_8h_2	150	uM	8	h	2	NA	tg_gates_003017230016.CEL	tg_gates_003017230010.CEL	study23_CHEMBL896_150uM_8h_2
hydroxyzine_0_24h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017230017.CEL		study23_CHEMBL896_0uM_24h_1
hydroxyzine_0_24h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017230018.CEL		study23_CHEMBL896_0uM_24h_2
hydroxyzine_6_24h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_1	6	uM	24	h	1	NA	tg_gates_003017230019.CEL	tg_gates_003017230017.CEL	study23_CHEMBL896_6uM_24h_1
hydroxyzine_6_24h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_2	6	uM	24	h	2	NA	tg_gates_003017230020.CEL	tg_gates_003017230018.CEL	study23_CHEMBL896_6uM_24h_2
hydroxyzine_30_24h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_1	30	uM	24	h	1	NA	tg_gates_003017230021.CEL	tg_gates_003017230017.CEL	study23_CHEMBL896_30uM_24h_1
hydroxyzine_30_24h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_2	30	uM	24	h	2	NA	tg_gates_003017230022.CEL	tg_gates_003017230018.CEL	study23_CHEMBL896_30uM_24h_2
hydroxyzine_150_24h_1	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_1	150	uM	24	h	1	NA	tg_gates_003017230023.CEL	tg_gates_003017230017.CEL	study23_CHEMBL896_150uM_24h_1
hydroxyzine_150_24h_2	not specified	hydroxyzine	CHEMBL896	NA	NA	FALSE	hydroxyzine_0_24h_2	150	uM	24	h	2	NA	tg_gates_003017230024.CEL	tg_gates_003017230018.CEL	study23_CHEMBL896_150uM_24h_2
amitriptyline_0_2h_1	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017234030.CEL		study23_CHEMBL629_0uM_2h_1
amitriptyline_0_2h_2	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017235001.CEL		study23_CHEMBL629_0uM_2h_2
amitriptyline_2.4_2h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_1	2.4	uM	2	h	1	NA	tg_gates_003017235002.CEL	tg_gates_003017234030.CEL	study23_CHEMBL629_2.4uM_2h_1
amitriptyline_2.4_2h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_2	2.4	uM	2	h	2	NA	tg_gates_003017235003.CEL	tg_gates_003017235001.CEL	study23_CHEMBL629_2.4uM_2h_2
amitriptyline_12_2h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_1	12	uM	2	h	1	NA	tg_gates_003017235004.CEL	tg_gates_003017234030.CEL	study23_CHEMBL629_12uM_2h_1
amitriptyline_12_2h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_2	12	uM	2	h	2	NA	tg_gates_003017235005.CEL	tg_gates_003017235001.CEL	study23_CHEMBL629_12uM_2h_2
amitriptyline_60_2h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_1	60	uM	2	h	1	NA	tg_gates_003017235006.CEL	tg_gates_003017234030.CEL	study23_CHEMBL629_60uM_2h_1
amitriptyline_60_2h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_2h_2	60	uM	2	h	2	NA	tg_gates_003017235007.CEL	tg_gates_003017235001.CEL	study23_CHEMBL629_60uM_2h_2
amitriptyline_0_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017235008.CEL		study23_CHEMBL629_0uM_8h_1
amitriptyline_0_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017235009.CEL		study23_CHEMBL629_0uM_8h_2
amitriptyline_2.4_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_1	2.4	uM	8	h	1	NA	tg_gates_003017235010.CEL	tg_gates_003017235008.CEL	study23_CHEMBL629_2.4uM_8h_1
amitriptyline_2.4_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_2	2.4	uM	8	h	2	NA	tg_gates_003017235011.CEL	tg_gates_003017235009.CEL	study23_CHEMBL629_2.4uM_8h_2
amitriptyline_12_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_1	12	uM	8	h	1	NA	tg_gates_003017235012.CEL	tg_gates_003017235008.CEL	study23_CHEMBL629_12uM_8h_1
amitriptyline_12_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_2	12	uM	8	h	2	NA	tg_gates_003017235013.CEL	tg_gates_003017235009.CEL	study23_CHEMBL629_12uM_8h_2
amitriptyline_60_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_1	60	uM	8	h	1	NA	tg_gates_003017235014.CEL	tg_gates_003017235008.CEL	study23_CHEMBL629_60uM_8h_1
amitriptyline_60_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_2	60	uM	8	h	2	NA	tg_gates_003017235015.CEL	tg_gates_003017235009.CEL	study23_CHEMBL629_60uM_8h_2
amitriptyline_0_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017235016.CEL		study23_CHEMBL629_0uM_24h_1
amitriptyline_0_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017235017.CEL		study23_CHEMBL629_0uM_24h_2
amitriptyline_2.4_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_1	2.4	uM	24	h	1	NA	tg_gates_003017235018.CEL	tg_gates_003017235016.CEL	study23_CHEMBL629_2.4uM_24h_1
amitriptyline_2.4_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_2	2.4	uM	24	h	2	NA	tg_gates_003017235019.CEL	tg_gates_003017235017.CEL	study23_CHEMBL629_2.4uM_24h_2
amitriptyline_12_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_1	12	uM	24	h	1	NA	tg_gates_003017235020.CEL	tg_gates_003017235016.CEL	study23_CHEMBL629_12uM_24h_1
amitriptyline_12_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_2	12	uM	24	h	2	NA	tg_gates_003017235021.CEL	tg_gates_003017235017.CEL	study23_CHEMBL629_12uM_24h_2
amitriptyline_60_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_1	60	uM	24	h	1	NA	tg_gates_003017235022.CEL	tg_gates_003017235016.CEL	study23_CHEMBL629_60uM_24h_1
amitriptyline_60_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_2	60	uM	24	h	2	NA	tg_gates_003017235023.CEL	tg_gates_003017235017.CEL	study23_CHEMBL629_60uM_24h_2
iproniazid_0_2h_1	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017237001.CEL		study23_CHEMBL92401_0uM_2h_1
iproniazid_0_2h_2	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017237002.CEL		study23_CHEMBL92401_0uM_2h_2
iproniazid_80_2h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_1	80	uM	2	h	1	NA	tg_gates_003017237003.CEL	tg_gates_003017237001.CEL	study23_CHEMBL92401_80uM_2h_1
iproniazid_80_2h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_2	80	uM	2	h	2	NA	tg_gates_003017237004.CEL	tg_gates_003017237002.CEL	study23_CHEMBL92401_80uM_2h_2
iproniazid_400_2h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_1	400	uM	2	h	1	NA	tg_gates_003017237005.CEL	tg_gates_003017237001.CEL	study23_CHEMBL92401_400uM_2h_1
iproniazid_400_2h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_2	400	uM	2	h	2	NA	tg_gates_003017237006.CEL	tg_gates_003017237002.CEL	study23_CHEMBL92401_400uM_2h_2
iproniazid_2000_2h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_1	2000	uM	2	h	1	NA	tg_gates_003017237007.CEL	tg_gates_003017237001.CEL	study23_CHEMBL92401_2000uM_2h_1
iproniazid_2000_2h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_2h_2	2000	uM	2	h	2	NA	tg_gates_003017237008.CEL	tg_gates_003017237002.CEL	study23_CHEMBL92401_2000uM_2h_2
iproniazid_0_8h_1	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017237009.CEL		study23_CHEMBL92401_0uM_8h_1
iproniazid_0_8h_2	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017237010.CEL		study23_CHEMBL92401_0uM_8h_2
iproniazid_80_8h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_1	80	uM	8	h	1	NA	tg_gates_003017237011.CEL	tg_gates_003017237009.CEL	study23_CHEMBL92401_80uM_8h_1
iproniazid_80_8h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_2	80	uM	8	h	2	NA	tg_gates_003017237012.CEL	tg_gates_003017237010.CEL	study23_CHEMBL92401_80uM_8h_2
iproniazid_400_8h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_1	400	uM	8	h	1	NA	tg_gates_003017237013.CEL	tg_gates_003017237009.CEL	study23_CHEMBL92401_400uM_8h_1
iproniazid_400_8h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_2	400	uM	8	h	2	NA	tg_gates_003017237014.CEL	tg_gates_003017237010.CEL	study23_CHEMBL92401_400uM_8h_2
iproniazid_2000_8h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_1	2000	uM	8	h	1	NA	tg_gates_003017237015.CEL	tg_gates_003017237009.CEL	study23_CHEMBL92401_2000uM_8h_1
iproniazid_2000_8h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_8h_2	2000	uM	8	h	2	NA	tg_gates_003017237016.CEL	tg_gates_003017237010.CEL	study23_CHEMBL92401_2000uM_8h_2
iproniazid_0_24h_1	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017237017.CEL		study23_CHEMBL92401_0uM_24h_1
iproniazid_0_24h_2	not specified	iproniazid	CHEMBL92401	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017237018.CEL		study23_CHEMBL92401_0uM_24h_2
iproniazid_80_24h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_24h_1	80	uM	24	h	1	NA	tg_gates_003017237019.CEL	tg_gates_003017237017.CEL	study23_CHEMBL92401_80uM_24h_1
iproniazid_80_24h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_24h_2	80	uM	24	h	2	NA	tg_gates_003017237020.CEL	tg_gates_003017237018.CEL	study23_CHEMBL92401_80uM_24h_2
iproniazid_400_24h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_24h_1	400	uM	24	h	1	NA	tg_gates_003017237021.CEL	tg_gates_003017237017.CEL	study23_CHEMBL92401_400uM_24h_1
iproniazid_2000_24h_1	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_24h_1	2000	uM	24	h	1	NA	tg_gates_003017237023.CEL	tg_gates_003017237017.CEL	study23_CHEMBL92401_2000uM_24h_1
iproniazid_2000_24h_2	not specified	iproniazid	CHEMBL92401	NA	NA	FALSE	iproniazid_0_24h_2	2000	uM	24	h	2	NA	tg_gates_003017237024.CEL	tg_gates_003017237018.CEL	study23_CHEMBL92401_2000uM_24h_2
moxisylyte_0_2h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017241004.CEL		study23_CHEMBL159226_0uM_2h_1
moxisylyte_0_2h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017241005.CEL		study23_CHEMBL159226_0uM_2h_2
moxisylyte_24_2h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_1	24	uM	2	h	1	NA	tg_gates_003017241006.CEL	tg_gates_003017241004.CEL	study23_CHEMBL159226_24uM_2h_1
moxisylyte_24_2h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_2	24	uM	2	h	2	NA	tg_gates_003017241007.CEL	tg_gates_003017241005.CEL	study23_CHEMBL159226_24uM_2h_2
moxisylyte_120_2h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_1	120	uM	2	h	1	NA	tg_gates_003017241008.CEL	tg_gates_003017241004.CEL	study23_CHEMBL159226_120uM_2h_1
moxisylyte_120_2h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_2	120	uM	2	h	2	NA	tg_gates_003017241009.CEL	tg_gates_003017241005.CEL	study23_CHEMBL159226_120uM_2h_2
moxisylyte_600_2h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_1	600	uM	2	h	1	NA	tg_gates_003017241010.CEL	tg_gates_003017241004.CEL	study23_CHEMBL159226_600uM_2h_1
moxisylyte_600_2h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_2h_2	600	uM	2	h	2	NA	tg_gates_003017241011.CEL	tg_gates_003017241005.CEL	study23_CHEMBL159226_600uM_2h_2
moxisylyte_0_8h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017241012.CEL		study23_CHEMBL159226_0uM_8h_1
moxisylyte_0_8h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017241013.CEL		study23_CHEMBL159226_0uM_8h_2
moxisylyte_24_8h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_1	24	uM	8	h	1	NA	tg_gates_003017241014.CEL	tg_gates_003017241012.CEL	study23_CHEMBL159226_24uM_8h_1
moxisylyte_24_8h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_2	24	uM	8	h	2	NA	tg_gates_003017241015.CEL	tg_gates_003017241013.CEL	study23_CHEMBL159226_24uM_8h_2
moxisylyte_120_8h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_1	120	uM	8	h	1	NA	tg_gates_003017241016.CEL	tg_gates_003017241012.CEL	study23_CHEMBL159226_120uM_8h_1
moxisylyte_120_8h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_2	120	uM	8	h	2	NA	tg_gates_003017241017.CEL	tg_gates_003017241013.CEL	study23_CHEMBL159226_120uM_8h_2
moxisylyte_600_8h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_1	600	uM	8	h	1	NA	tg_gates_003017241018.CEL	tg_gates_003017241012.CEL	study23_CHEMBL159226_600uM_8h_1
moxisylyte_600_8h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_8h_2	600	uM	8	h	2	NA	tg_gates_003017241019.CEL	tg_gates_003017241013.CEL	study23_CHEMBL159226_600uM_8h_2
moxisylyte_0_24h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017241020.CEL		study23_CHEMBL159226_0uM_24h_1
moxisylyte_0_24h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017241021.CEL		study23_CHEMBL159226_0uM_24h_2
moxisylyte_24_24h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_1	24	uM	24	h	1	NA	tg_gates_003017241022.CEL	tg_gates_003017241020.CEL	study23_CHEMBL159226_24uM_24h_1
moxisylyte_24_24h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_2	24	uM	24	h	2	NA	tg_gates_003017241023.CEL	tg_gates_003017241021.CEL	study23_CHEMBL159226_24uM_24h_2
moxisylyte_120_24h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_1	120	uM	24	h	1	NA	tg_gates_003017241024.CEL	tg_gates_003017241020.CEL	study23_CHEMBL159226_120uM_24h_1
moxisylyte_120_24h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_2	120	uM	24	h	2	NA	tg_gates_003017241025.CEL	tg_gates_003017241021.CEL	study23_CHEMBL159226_120uM_24h_2
moxisylyte_600_24h_1	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_1	600	uM	24	h	1	NA	tg_gates_003017241026.CEL	tg_gates_003017241020.CEL	study23_CHEMBL159226_600uM_24h_1
moxisylyte_600_24h_2	not specified	moxisylyte	CHEMBL159226	NA	NA	FALSE	moxisylyte_0_24h_2	600	uM	24	h	2	NA	tg_gates_003017241027.CEL	tg_gates_003017241021.CEL	study23_CHEMBL159226_600uM_24h_2
naproxen_0_2h_1	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017241028.CEL		study23_CHEMBL154_0uM_2h_1
naproxen_0_2h_2	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017241029.CEL		study23_CHEMBL154_0uM_2h_2
naproxen_80_2h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_1	80	uM	2	h	1	NA	tg_gates_003017241030.CEL	tg_gates_003017241028.CEL	study23_CHEMBL154_80uM_2h_1
naproxen_80_2h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_2	80	uM	2	h	2	NA	tg_gates_003017242001.CEL	tg_gates_003017241029.CEL	study23_CHEMBL154_80uM_2h_2
naproxen_400_2h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_1	400	uM	2	h	1	NA	tg_gates_003017242002.CEL	tg_gates_003017241028.CEL	study23_CHEMBL154_400uM_2h_1
naproxen_400_2h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_2	400	uM	2	h	2	NA	tg_gates_003017242003.CEL	tg_gates_003017241029.CEL	study23_CHEMBL154_400uM_2h_2
naproxen_2000_2h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_1	2000	uM	2	h	1	NA	tg_gates_003017242004.CEL	tg_gates_003017241028.CEL	study23_CHEMBL154_2000uM_2h_1
naproxen_2000_2h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_2h_2	2000	uM	2	h	2	NA	tg_gates_003017242005.CEL	tg_gates_003017241029.CEL	study23_CHEMBL154_2000uM_2h_2
naproxen_0_8h_1	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017242006.CEL		study23_CHEMBL154_0uM_8h_1
naproxen_0_8h_2	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017242007.CEL		study23_CHEMBL154_0uM_8h_2
naproxen_80_8h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_1	80	uM	8	h	1	NA	tg_gates_003017242008.CEL	tg_gates_003017242006.CEL	study23_CHEMBL154_80uM_8h_1
naproxen_80_8h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_2	80	uM	8	h	2	NA	tg_gates_003017242009.CEL	tg_gates_003017242007.CEL	study23_CHEMBL154_80uM_8h_2
naproxen_400_8h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_1	400	uM	8	h	1	NA	tg_gates_003017242010.CEL	tg_gates_003017242006.CEL	study23_CHEMBL154_400uM_8h_1
naproxen_400_8h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_2	400	uM	8	h	2	NA	tg_gates_003017242011.CEL	tg_gates_003017242007.CEL	study23_CHEMBL154_400uM_8h_2
naproxen_2000_8h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_1	2000	uM	8	h	1	NA	tg_gates_003017242012.CEL	tg_gates_003017242006.CEL	study23_CHEMBL154_2000uM_8h_1
naproxen_2000_8h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_8h_2	2000	uM	8	h	2	NA	tg_gates_003017242013.CEL	tg_gates_003017242007.CEL	study23_CHEMBL154_2000uM_8h_2
naproxen_0_24h_1	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017242014.CEL		study23_CHEMBL154_0uM_24h_1
naproxen_0_24h_2	not specified	naproxen	CHEMBL154	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017242015.CEL		study23_CHEMBL154_0uM_24h_2
naproxen_80_24h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_1	80	uM	24	h	1	NA	tg_gates_003017242016.CEL	tg_gates_003017242014.CEL	study23_CHEMBL154_80uM_24h_1
naproxen_400_24h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_1	400	uM	24	h	1	NA	tg_gates_003017242017.CEL	tg_gates_003017242014.CEL	study23_CHEMBL154_400uM_24h_1
naproxen_400_24h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_2	400	uM	24	h	2	NA	tg_gates_003017242018.CEL	tg_gates_003017242015.CEL	study23_CHEMBL154_400uM_24h_2
naproxen_2000_24h_1	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_1	2000	uM	24	h	1	NA	tg_gates_003017242019.CEL	tg_gates_003017242014.CEL	study23_CHEMBL154_2000uM_24h_1
naproxen_2000_24h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_2	2000	uM	24	h	2	NA	tg_gates_003017242020.CEL	tg_gates_003017242015.CEL	study23_CHEMBL154_2000uM_24h_2
naproxen_80_24h_2	not specified	naproxen	CHEMBL154	NA	NA	FALSE	naproxen_0_24h_2	80	uM	24	h	2	NA	tg_gates_003017242021.CEL	tg_gates_003017242015.CEL	study23_CHEMBL154_80uM_24h_2
chlorpropamide_0_2h_1	not specified	chlorpropamide	CHEMBL498	NA	NC	TRUE		0	uM	2	h	1	NA	tg_gates_003017249020.CEL		study23_CHEMBL498_0uM_2h_1
chlorpropamide_0_2h_2	not specified	chlorpropamide	CHEMBL498	NA	NC	TRUE		0	uM	2	h	2	NA	tg_gates_003017249021.CEL		study23_CHEMBL498_0uM_2h_2
chlorpropamide_30_2h_1	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_1	30	uM	2	h	1	NA	tg_gates_003017249022.CEL	tg_gates_003017249020.CEL	study23_CHEMBL498_30uM_2h_1
chlorpropamide_30_2h_2	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_2	30	uM	2	h	2	NA	tg_gates_003017249023.CEL	tg_gates_003017249021.CEL	study23_CHEMBL498_30uM_2h_2
chlorpropamide_150_2h_1	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_1	150	uM	2	h	1	NA	tg_gates_003017249024.CEL	tg_gates_003017249020.CEL	study23_CHEMBL498_150uM_2h_1
chlorpropamide_150_2h_2	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_2	150	uM	2	h	2	NA	tg_gates_003017249025.CEL	tg_gates_003017249021.CEL	study23_CHEMBL498_150uM_2h_2
chlorpropamide_750_2h_1	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_1	750	uM	2	h	1	NA	tg_gates_003017249026.CEL	tg_gates_003017249020.CEL	study23_CHEMBL498_750uM_2h_1
chlorpropamide_750_2h_2	not specified	chlorpropamide	CHEMBL498	NA	NC	FALSE	chlorpropamide_0_2h_2	750	uM	2	h	2	NA	tg_gates_003017249027.CEL	tg_gates_003017249021.CEL	study23_CHEMBL498_750uM_2h_2
chlorpropamide_0_8h_1	not specified	chlorpropamide	CHEMBL498	NA	NC	TRUE		0	uM	8	h	1	NA	tg_gates_003017249028.CEL		study23_CHEMBL498_0uM_8h_1
