Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file	control_file	final_array_name
cimetidine_300_24h_1	not specified	cimetidine	CHEMBL30	NA	FALSE	cimetidine_0_24h_1	300	micromolar	NA	tg_gates_003017139023.CEL		
cimetidine_300_24h_2	not specified	cimetidine	CHEMBL30	NA	FALSE	cimetidine_0_24h_2	300	micromolar	NA	tg_gates_003017139024.CEL		
chlorpromazine_0_2h_2	not specified	chlorpromazine	CHEMBL71	NA	TRUE		0	micromolar	NA	tg_gates_003017140018.CEL		
chlorpromazine_4_2h_1	not specified	chlorpromazine	CHEMBL71	NA	FALSE	chlorpromazine_0_2h_1	4	micromolar	NA	tg_gates_003017140019.CEL		
flutamide_75_8h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_1	75	micromolar	NA	tg_gates_003017141001.CEL		
flutamide_75_8h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_2	75	micromolar	NA	tg_gates_003017141002.CEL		
flutamide_0_24h_1	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017141003.CEL		
flutamide_0_24h_2	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017141004.CEL		
flutamide_3_24h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_1	3	micromolar	NA	tg_gates_003017141005.CEL		
flutamide_3_24h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_2	3	micromolar	NA	tg_gates_003017141006.CEL		
flutamide_0_8h_2	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017142002.CEL		
flutamide_3_8h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_1	3	micromolar	NA	tg_gates_003017142003.CEL		
flutamide_3_8h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_2	3	micromolar	NA	tg_gates_003017142004.CEL		
flutamide_15_8h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_1	15	micromolar	NA	tg_gates_003017142005.CEL		
flutamide_15_8h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_8h_2	15	micromolar	NA	tg_gates_003017142006.CEL		
flutamide_15_24h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_1	15	micromolar	NA	tg_gates_003017143001.CEL		
flutamide_15_24h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_2	15	micromolar	NA	tg_gates_003017143002.CEL		
flutamide_75_24h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_1	75	micromolar	NA	tg_gates_003017143003.CEL		
flutamide_75_24h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_24h_2	75	micromolar	NA	tg_gates_003017143004.CEL		
flutamide_0_2h_1	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017144001.CEL		
flutamide_0_2h_2	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017144002.CEL		
flutamide_3_2h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_1	3	micromolar	NA	tg_gates_003017144003.CEL		
flutamide_3_2h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_2	3	micromolar	NA	tg_gates_003017144004.CEL		
flutamide_15_2h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_1	15	micromolar	NA	tg_gates_003017144005.CEL		
flutamide_15_2h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_2	15	micromolar	NA	tg_gates_003017144006.CEL		
flutamide_75_2h_1	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_1	75	micromolar	NA	tg_gates_003017144007.CEL		
flutamide_75_2h_2	not specified	flutamide	CHEMBL806	NA	FALSE	flutamide_0_2h_2	75	micromolar	NA	tg_gates_003017144008.CEL		
flutamide_0_8h_1	not specified	flutamide	CHEMBL806	NA	TRUE		0	micromolar	NA	tg_gates_003017144009.CEL		
ethinylestradiol_0_2h_1	not specified	ethinylestradiol	CHEMBL691	NA	TRUE		0	micromolar	NA	tg_gates_003017145001.CEL		
ethinylestradiol_0.6_2h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_1	0.6	micromolar	NA	tg_gates_003017145003.CEL		
ethinylestradiol_0.6_2h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_2	0.6	micromolar	NA	tg_gates_003017145004.CEL		
ethinylestradiol_3_2h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_1	3	micromolar	NA	tg_gates_003017145005.CEL		
ethinylestradiol_3_2h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_2	3	micromolar	NA	tg_gates_003017145006.CEL		
ethinylestradiol_15_2h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_1	15	micromolar	NA	tg_gates_003017145007.CEL		
ethinylestradiol_15_2h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_2h_2	15	micromolar	NA	tg_gates_003017145008.CEL		
ethinylestradiol_0_8h_1	not specified	ethinylestradiol	CHEMBL691	NA	TRUE		0	micromolar	NA	tg_gates_003017145009.CEL		
ethinylestradiol_0_8h_2	not specified	ethinylestradiol	CHEMBL691	NA	TRUE		0	micromolar	NA	tg_gates_003017145010.CEL		
ethinylestradiol_0.6_8h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_1	0.6	micromolar	NA	tg_gates_003017145011.CEL		
ethinylestradiol_0.6_8h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_2	0.6	micromolar	NA	tg_gates_003017145012.CEL		
ethinylestradiol_3_8h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_1	3	micromolar	NA	tg_gates_003017145013.CEL		
ethinylestradiol_3_8h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_2	3	micromolar	NA	tg_gates_003017145014.CEL		
ethinylestradiol_15_8h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_1	15	micromolar	NA	tg_gates_003017145015.CEL		
ethinylestradiol_15_8h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_8h_2	15	micromolar	NA	tg_gates_003017145016.CEL		
ethinylestradiol_0_24h_1	not specified	ethinylestradiol	CHEMBL691	NA	TRUE		0	micromolar	NA	tg_gates_003017145017.CEL		
ethinylestradiol_0_24h_2	not specified	ethinylestradiol	CHEMBL691	NA	TRUE		0	micromolar	NA	tg_gates_003017145018.CEL		
ethinylestradiol_0.6_24h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_1	0.6	micromolar	NA	tg_gates_003017145019.CEL		
ethinylestradiol_0.6_24h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_2	0.6	micromolar	NA	tg_gates_003017145020.CEL		
ethinylestradiol_3_24h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_1	3	micromolar	NA	tg_gates_003017145021.CEL		
ethinylestradiol_3_24h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_2	3	micromolar	NA	tg_gates_003017145022.CEL		
ethinylestradiol_15_24h_1	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_1	15	micromolar	NA	tg_gates_003017145023.CEL		
ethinylestradiol_15_24h_2	not specified	ethinylestradiol	CHEMBL691	NA	FALSE	ethinylestradiol_0_24h_2	15	micromolar	NA	tg_gates_003017145024.CEL		
azathioprine_0_2h_1	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147002.CEL		
azathioprine_0_2h_2	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147003.CEL		
azathioprine_0.14_2h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_1	0.14	micromolar	NA	tg_gates_003017147004.CEL		
azathioprine_0.14_2h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_2	0.14	micromolar	NA	tg_gates_003017147005.CEL		
azathioprine_0.72_2h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_1	0.72	micromolar	NA	tg_gates_003017147006.CEL		
azathioprine_0.72_2h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_2	0.72	micromolar	NA	tg_gates_003017147007.CEL		
azathioprine_3.6_2h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_1	3.6	micromolar	NA	tg_gates_003017147008.CEL		
azathioprine_3.6_2h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_2h_2	3.6	micromolar	NA	tg_gates_003017147009.CEL		
azathioprine_0_8h_1	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147010.CEL		
azathioprine_0_8h_2	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147011.CEL		
azathioprine_0.14_8h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_1	0.14	micromolar	NA	tg_gates_003017147012.CEL		
azathioprine_0.14_8h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_2	0.14	micromolar	NA	tg_gates_003017147013.CEL		
azathioprine_0.72_8h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_1	0.72	micromolar	NA	tg_gates_003017147014.CEL		
azathioprine_0.72_8h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_2	0.72	micromolar	NA	tg_gates_003017147015.CEL		
azathioprine_3.6_8h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_1	3.6	micromolar	NA	tg_gates_003017147016.CEL		
azathioprine_3.6_8h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_8h_2	3.6	micromolar	NA	tg_gates_003017147017.CEL		
azathioprine_0_24h_1	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147018.CEL		
azathioprine_0_24h_2	not specified	azathioprine	CHEMBL1542	NA	TRUE		0	micromolar	NA	tg_gates_003017147019.CEL		
azathioprine_0.14_24h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_1	0.14	micromolar	NA	tg_gates_003017147020.CEL		
azathioprine_0.14_24h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_2	0.14	micromolar	NA	tg_gates_003017147021.CEL		
azathioprine_0.72_24h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_1	0.72	micromolar	NA	tg_gates_003017147022.CEL		
azathioprine_0.72_24h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_2	0.72	micromolar	NA	tg_gates_003017147023.CEL		
azathioprine_3.6_24h_1	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_1	3.6	micromolar	NA	tg_gates_003017147024.CEL		
azathioprine_3.6_24h_2	not specified	azathioprine	CHEMBL1542	NA	FALSE	azathioprine_0_24h_2	3.6	micromolar	NA	tg_gates_003017147025.CEL		
tamoxifen_0_2h_1	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017148020.CEL		
tamoxifen_0_2h_2	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017148021.CEL		
tamoxifen_0.12_2h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_1	0.12	micromolar	NA	tg_gates_003017148022.CEL		
tamoxifen_0.12_2h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_2	0.12	micromolar	NA	tg_gates_003017148023.CEL		
tamoxifen_0.6_2h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_1	0.6	micromolar	NA	tg_gates_003017148024.CEL		
tamoxifen_0.6_2h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_2	0.6	micromolar	NA	tg_gates_003017148025.CEL		
tamoxifen_3_2h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_1	3	micromolar	NA	tg_gates_003017148026.CEL		
tamoxifen_3_2h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_2h_2	3	micromolar	NA	tg_gates_003017148027.CEL		
tamoxifen_0_8h_1	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017148028.CEL		
tamoxifen_0_8h_2	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017148029.CEL		
tamoxifen_0.12_8h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_1	0.12	micromolar	NA	tg_gates_003017148030.CEL		
tamoxifen_0.12_8h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_2	0.12	micromolar	NA	tg_gates_003017149001.CEL		
tamoxifen_0.6_8h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_1	0.6	micromolar	NA	tg_gates_003017149002.CEL		
tamoxifen_0.6_8h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_2	0.6	micromolar	NA	tg_gates_003017149003.CEL		
tamoxifen_3_8h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_1	3	micromolar	NA	tg_gates_003017149004.CEL		
tamoxifen_3_8h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_8h_2	3	micromolar	NA	tg_gates_003017149005.CEL		
tamoxifen_0_24h_1	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017149006.CEL		
tamoxifen_0_24h_2	not specified	tamoxifen	CHEMBL83	NA	TRUE		0	micromolar	NA	tg_gates_003017149007.CEL		
tamoxifen_0.12_24h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_1	0.12	micromolar	NA	tg_gates_003017149008.CEL		
tamoxifen_0.12_24h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_2	0.12	micromolar	NA	tg_gates_003017149009.CEL		
tamoxifen_0.6_24h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_1	0.6	micromolar	NA	tg_gates_003017149010.CEL		
tamoxifen_0.6_24h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_2	0.6	micromolar	NA	tg_gates_003017149011.CEL		
tamoxifen_3_24h_1	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_1	3	micromolar	NA	tg_gates_003017149012.CEL		
tamoxifen_3_24h_2	not specified	tamoxifen	CHEMBL83	NA	FALSE	tamoxifen_0_24h_2	3	micromolar	NA	tg_gates_003017149013.CEL		
perhexiline_0_2h_1	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151001.CEL		
perhexiline_0_2h_2	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151002.CEL		
perhexiline_0.4_2h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_1	0.4	micromolar	NA	tg_gates_003017151003.CEL		
perhexiline_0.4_2h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_2	0.4	micromolar	NA	tg_gates_003017151004.CEL		
perhexiline_2_2h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_1	2	micromolar	NA	tg_gates_003017151005.CEL		
perhexiline_2_2h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_2	2	micromolar	NA	tg_gates_003017151006.CEL		
perhexiline_10_2h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_1	10	micromolar	NA	tg_gates_003017151007.CEL		
perhexiline_10_2h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_2h_2	10	micromolar	NA	tg_gates_003017151008.CEL		
perhexiline_0_8h_1	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151009.CEL		
perhexiline_0_8h_2	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151010.CEL		
perhexiline_0.4_8h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_1	0.4	micromolar	NA	tg_gates_003017151011.CEL		
perhexiline_0.4_8h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_2	0.4	micromolar	NA	tg_gates_003017151012.CEL		
perhexiline_2_8h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_1	2	micromolar	NA	tg_gates_003017151013.CEL		
perhexiline_2_8h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_2	2	micromolar	NA	tg_gates_003017151014.CEL		
perhexiline_10_8h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_1	10	micromolar	NA	tg_gates_003017151015.CEL		
perhexiline_10_8h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_8h_2	10	micromolar	NA	tg_gates_003017151016.CEL		
perhexiline_0_24h_1	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151017.CEL		
perhexiline_0_24h_2	not specified	perhexiline	CHEMBL75880	NA	TRUE		0	micromolar	NA	tg_gates_003017151018.CEL		
perhexiline_0.4_24h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_1	0.4	micromolar	NA	tg_gates_003017151019.CEL		
perhexiline_0.4_24h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_2	0.4	micromolar	NA	tg_gates_003017151020.CEL		
perhexiline_2_24h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_1	2	micromolar	NA	tg_gates_003017151021.CEL		
perhexiline_2_24h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_2	2	micromolar	NA	tg_gates_003017151022.CEL		
perhexiline_10_24h_1	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_1	10	micromolar	NA	tg_gates_003017151023.CEL		
perhexiline_10_24h_2	not specified	perhexiline	CHEMBL75880	NA	FALSE	perhexiline_0_24h_2	10	micromolar	NA	tg_gates_003017151024.CEL		
tetracycline_0_2h_1	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017154020.CEL		
tetracycline_0_2h_2	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017154021.CEL		
tetracycline_1_2h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_1	1	micromolar	NA	tg_gates_003017154022.CEL		
tetracycline_1_2h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_2	1	micromolar	NA	tg_gates_003017154023.CEL		
tetracycline_5_2h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_1	5	micromolar	NA	tg_gates_003017154024.CEL		
tetracycline_5_2h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_2	5	micromolar	NA	tg_gates_003017154025.CEL		
tetracycline_25_2h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_1	25	micromolar	NA	tg_gates_003017154026.CEL		
tetracycline_25_2h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_2h_2	25	micromolar	NA	tg_gates_003017154027.CEL		
tetracycline_0_8h_1	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017154028.CEL		
tetracycline_0_8h_2	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017154029.CEL		
tetracycline_1_8h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_1	1	micromolar	NA	tg_gates_003017154030.CEL		
tetracycline_1_8h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_2	1	micromolar	NA	tg_gates_003017155001.CEL		
tetracycline_5_8h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_1	5	micromolar	NA	tg_gates_003017155002.CEL		
tetracycline_5_8h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_2	5	micromolar	NA	tg_gates_003017155003.CEL		
tetracycline_25_8h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_1	25	micromolar	NA	tg_gates_003017155004.CEL		
tetracycline_25_8h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_8h_2	25	micromolar	NA	tg_gates_003017155005.CEL		
tetracycline_0_24h_1	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017155006.CEL		
tetracycline_0_24h_2	not specified	tetracycline	CHEMBL1440	NA	TRUE		0	micromolar	NA	tg_gates_003017155007.CEL		
tetracycline_1_24h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_1	1	micromolar	NA	tg_gates_003017155008.CEL		
tetracycline_1_24h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_2	1	micromolar	NA	tg_gates_003017155009.CEL		
tetracycline_5_24h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_1	5	micromolar	NA	tg_gates_003017155010.CEL		
tetracycline_5_24h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_2	5	micromolar	NA	tg_gates_003017155011.CEL		
tetracycline_25_24h_1	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_1	25	micromolar	NA	tg_gates_003017155012.CEL		
tetracycline_25_24h_2	not specified	tetracycline	CHEMBL1440	NA	FALSE	tetracycline_0_24h_2	25	micromolar	NA	tg_gates_003017155013.CEL		
methyldopa_0_2h_1	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017159030.CEL		
methyldopa_0_2h_2	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017160001.CEL		
methyldopa_2_2h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_1	2	micromolar	NA	tg_gates_003017160002.CEL		
methyldopa_2_2h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_2	2	micromolar	NA	tg_gates_003017160003.CEL		
methyldopa_10_2h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_1	10	micromolar	NA	tg_gates_003017160004.CEL		
methyldopa_10_2h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_2	10	micromolar	NA	tg_gates_003017160005.CEL		
methyldopa_50_2h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_1	50	micromolar	NA	tg_gates_003017160006.CEL		
methyldopa_50_2h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_2h_2	50	micromolar	NA	tg_gates_003017160007.CEL		
methyldopa_0_8h_1	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017160008.CEL		
methyldopa_0_8h_2	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017160009.CEL		
methyldopa_2_8h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_1	2	micromolar	NA	tg_gates_003017160010.CEL		
methyldopa_2_8h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_2	2	micromolar	NA	tg_gates_003017160011.CEL		
methyldopa_10_8h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_1	10	micromolar	NA	tg_gates_003017160012.CEL		
methyldopa_10_8h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_2	10	micromolar	NA	tg_gates_003017160013.CEL		
methyldopa_50_8h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_1	50	micromolar	NA	tg_gates_003017160014.CEL		
methyldopa_50_8h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_8h_2	50	micromolar	NA	tg_gates_003017160015.CEL		
methyldopa_0_24h_1	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017160016.CEL		
methyldopa_0_24h_2	not specified	methyldopa	CHEMBL459	NA	TRUE		0	micromolar	NA	tg_gates_003017160017.CEL		
methyldopa_2_24h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_1	2	micromolar	NA	tg_gates_003017160018.CEL		
methyldopa_2_24h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_2	2	micromolar	NA	tg_gates_003017160019.CEL		
methyldopa_10_24h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_1	10	micromolar	NA	tg_gates_003017160020.CEL		
methyldopa_10_24h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_2	10	micromolar	NA	tg_gates_003017160021.CEL		
methyldopa_50_24h_1	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_1	50	micromolar	NA	tg_gates_003017160022.CEL		
methyldopa_50_24h_2	not specified	methyldopa	CHEMBL459	NA	FALSE	methyldopa_0_24h_2	50	micromolar	NA	tg_gates_003017160023.CEL		
monocrotaline_18_8h_1	not specified	monocrotaline	CHEMBL521035	NA	FALSE	monocrotaline_0_8h_1	18	micromolar	NA	tg_gates_003017167027.CEL		
monocrotaline_18_8h_2	not specified	monocrotaline	CHEMBL521035	NA	FALSE	monocrotaline_0_8h_2	18	micromolar	NA	tg_gates_003017167028.CEL		
monocrotaline_90_8h_1	not specified	monocrotaline	CHEMBL521035	NA	FALSE	monocrotaline_0_8h_1	90	micromolar	NA	tg_gates_003017167029.CEL		
monocrotaline_90_8h_2	not specified	monocrotaline	CHEMBL521035	NA	FALSE	monocrotaline_0_8h_2	90	micromolar	NA	tg_gates_003017167030.CEL		
monocrotaline_0_2h_1	not specified	monocrotaline	CHEMBL521035	NA	TRUE		0	micromolar	NA	tg_gates_003017168001.CEL		
monocrotaline_0_2h_2	not specified	monocrotaline	CHEMBL521035	NA	TRUE		0	micromolar	NA	tg_gates_003017168002.CEL		
monocrotaline_3.6_2h_1	not specified	monocrotaline	CHEMBL521035	NA	FALSE	monocrotaline_0_2h_1	3.6	micromolar	NA	tg_gates_003017168003.CEL		
