Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file			control_file	final_array_name	
93099	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_1	167	micromolar	DMSO .1 %	drugmatrix_93099.CEL			93124.CEL	93342.CEL	93395.CEL
93100	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_0.67	132	micromolar	DMSO .1 %	drugmatrix_93100.CEL			93116.CEL	93343.CEL	93352.CEL
93101	RHCYT	carvedilol	CHEMBL723	NA	FALSE	control_0.67	50	micromolar	DMSO .1 %	drugmatrix_93101.CEL			93097.CEL	93344.CEL	93352.CEL
93102	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93102.CEL			93094.CEL	93347.CEL	93395.CEL
93103	RHCYT	doxofylline	CHEMBL1527608	NA	FALSE	control_1	13500	micromolar	DMSO .1 %	drugmatrix_93103.CEL			93110.CEL	93349.CEL	93395.CEL
93104	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_1	100000	micromolar	DMSO .1 %	drugmatrix_93104.CEL			93124.CEL	93350.CEL	93352.CEL
93105	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_0.67	77	micromolar	DMSO .1 %	drugmatrix_93105.CEL			93096.CEL	93352.CEL	93352.CEL
93106	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_0.67	69	micromolar	DMSO .1 %	drugmatrix_93106.CEL			93096.CEL	93355.CEL	93352.CEL
93107	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_1	69	micromolar	DMSO .1 %	drugmatrix_93107.CEL			93110.CEL	93358.CEL	93352.CEL
93108	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_1	1481	micromolar	DMSO .1 %	drugmatrix_93108.CEL			93124.CEL	93362.CEL	93395.CEL
93109	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_0.67	100000	micromolar	DMSO .1 %	drugmatrix_93109.CEL			93116.CEL	93363.CEL	93352.CEL
93110	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93110.CEL			93110.CEL	93368.CEL	93395.CEL
93111	RHCYT	sotalol	CHEMBL471	NA	FALSE	control_0.67	6666	micromolar	DMSO .1 %	drugmatrix_93111.CEL			93097.CEL	93847.CEL	93352.CEL
93112	RHCYT	danazol	CHEMBL1479	NA	FALSE	control_1	95	micromolar	DMSO .1 %	drugmatrix_93112.CEL			93123.CEL	93376.CEL	93352.CEL
93113	RHCYT	sulconazole	CHEMBL1221	NA	FALSE	control_0.67	40	micromolar	DMSO .1 %	drugmatrix_93113.CEL			93097.CEL	93377.CEL	93395.CEL
93114	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_0.67	1.3	micromolar	DMSO .1 %	drugmatrix_93114.CEL			93096.CEL	93380.CEL	93395.CEL
93115	RHCYT	sotalol	CHEMBL471	NA	FALSE	control_1	6666	micromolar	DMSO .1 %	drugmatrix_93115.CEL			93094.CEL	93381.CEL	93352.CEL
93116	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93116.CEL			93116.CEL	93383.CEL	93395.CEL
93117	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_0.67	150	micromolar	DMSO .1 %	drugmatrix_93117.CEL			93096.CEL	93387.CEL	93352.CEL
93118	RHCYT	carmustine	CHEMBL513	NA	FALSE	control_0.67	550	micromolar	DMSO .1 %	drugmatrix_93118.CEL			93096.CEL	93390.CEL	93395.CEL
93119	RHCYT	danazol	CHEMBL1479	NA	FALSE	control_0.67	95	micromolar	DMSO .1 %	drugmatrix_93119.CEL			93127.CEL	93393.CEL	93352.CEL
93120	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_0.67	0.5	micromolar	DMSO .1 %	drugmatrix_93120.CEL			93096.CEL	93394.CEL	93395.CEL
93121	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_1	1.3	micromolar	DMSO .1 %	drugmatrix_93121.CEL			93110.CEL	93395.CEL	93395.CEL
93122	RHCYT	idarubicin	CHEMBL1117	NA	FALSE	control_0.67	1.5	micromolar	DMSO .1 %	drugmatrix_93122.CEL			93127.CEL	93457.CEL	93479.CEL
93123	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93123.CEL			93123.CEL	93459.CEL	93509.CEL
93124	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93124.CEL			93124.CEL	93463.CEL	93479.CEL
93125	RHCYT	ifosfamide	CHEMBL1024	NA	FALSE	control_0.67	11000	micromolar	DMSO .1 %	drugmatrix_93125.CEL			93116.CEL	93464.CEL	93479.CEL
93126	RHCYT	doxofylline	CHEMBL1527608	NA	FALSE	control_0.67	13500	micromolar	DMSO .1 %	drugmatrix_93126.CEL			93096.CEL	93465.CEL	93479.CEL
93127	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93127.CEL			93127.CEL	93466.CEL	93479.CEL
93128	RHCYT	sulconazole	CHEMBL1221	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_93128.CEL			93094.CEL	93467.CEL	93479.CEL
93129	RHCYT	acetaminophen	CHEMBL112	NA	FALSE	control_1	1950	micromolar	DMSO .1 %	drugmatrix_93129.CEL			93094.CEL	93468.CEL	93479.CEL
93130	RHCYT	D-galactosamine	CHEMBL606759	NA	FALSE	control_1	470	micromolar	DMSO .1 %	drugmatrix_93130.CEL			93094.CEL	93469.CEL	93479.CEL
93131	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_0.67	1481	micromolar	DMSO .1 %	drugmatrix_93131.CEL			93116.CEL	93470.CEL	93509.CEL
93132	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_0.67	0.5	micromolar	DMSO .1 %	drugmatrix_93132.CEL			93189.CEL	93471.CEL	93479.CEL
93133	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_0.67	23	micromolar	DMSO .1 %	drugmatrix_93133.CEL			93139.CEL	93472.CEL	93479.CEL
93134	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93134.CEL			93134.CEL	93476.CEL	93509.CEL
93135	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_1	23	micromolar	DMSO .1 %	drugmatrix_93135.CEL			93134.CEL	93479.CEL	93479.CEL
93136	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_0.67	77	micromolar	DMSO .1 %	drugmatrix_93136.CEL			93189.CEL	93483.CEL	93509.CEL
93137	RHCYT	fluphenazine	CHEMBL726	NA	FALSE	control_1	45	micromolar	DMSO .1 %	drugmatrix_93137.CEL			93170.CEL	93487.CEL	93479.CEL
93138	RHCYT	itraconazole	CHEMBL22587	NA	FALSE	control_1	10	micromolar	DMSO .1 %	drugmatrix_93138.CEL			93134.CEL	93490.CEL	93509.CEL
93139	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93139.CEL			93139.CEL	93491.CEL	93509.CEL
93140	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93140.CEL			93139.CEL	93497.CEL	93509.CEL
93141	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_0.67	14800	micromolar	DMSO .1 %	drugmatrix_93141.CEL			93139.CEL	93499.CEL	93509.CEL
93142	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_0.67	167	micromolar	DMSO .1 %	drugmatrix_93142.CEL			93139.CEL	93502.CEL	93479.CEL
93166	RHCYT	D-galactosamine	CHEMBL606759	NA	FALSE	control_0.67	470	micromolar	DMSO .1 %	drugmatrix_93166.CEL			93184.CEL	93503.CEL	93509.CEL
93167	RHCYT	D-galactosamine	CHEMBL606759	NA	FALSE	control_1	470	micromolar	DMSO .1 %	drugmatrix_93167.CEL			93206.CEL	93504.CEL	93509.CEL
93168	RHCYT	nortriptyline	CHEMBL445	NA	FALSE	control_0.67	70	micromolar	DMSO .1 %	drugmatrix_93168.CEL			93189.CEL	93507.CEL	93509.CEL
93169	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_1	100000	micromolar	DMSO .1 %	drugmatrix_93169.CEL			93134.CEL	93509.CEL	93509.CEL
93170	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93170.CEL			93170.CEL	93605.CEL	93509.CEL
93171	RHCYT	valdecoxib	CHEMBL865	NA	FALSE	control_1	450	micromolar	DMSO .1 %	drugmatrix_93171.CEL			93170.CEL	93513.CEL	93382.CEL
93172	RHCYT	Vinblastine	CHEMBL159	NA	FALSE	control_0.67	45	micromolar	DMSO .1 %	drugmatrix_93172.CEL			93139.CEL	93335.CEL	93389.CEL
93173	RHCYT	nimesulide	CHEMBL56367	NA	FALSE	control_1	61.7	micromolar	DMSO .1 %	drugmatrix_93173.CEL			93204.CEL	93337.CEL	93382.CEL
93174	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_0.67	500	micromolar	DMSO .1 %	drugmatrix_93174.CEL			93139.CEL	93348.CEL	93389.CEL
93175	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_93175.CEL			93134.CEL	93351.CEL	93382.CEL
93176	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_0.67	20	micromolar	DMSO .1 %	drugmatrix_93176.CEL			93189.CEL	93354.CEL	93389.CEL
93177	RHCYT	carmustine	CHEMBL513	NA	FALSE	control_0.67	550	micromolar	DMSO .1 %	drugmatrix_93177.CEL			93189.CEL	93356.CEL	93382.CEL
93178	RHCYT	ifosfamide	CHEMBL1024	NA	FALSE	control_1	11000	micromolar	DMSO .1 %	drugmatrix_93178.CEL			93170.CEL	93359.CEL	93382.CEL
93179	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93179.CEL			93134.CEL	93365.CEL	93389.CEL
93180	RHCYT	sporidesmin a		NA	FALSE	control_0.67	0.15	micromolar	DMSO .1 %	drugmatrix_93180.CEL			93189.CEL	93369.CEL	93389.CEL
93181	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_1	1481	micromolar	DMSO .1 %	drugmatrix_93181.CEL			93134.CEL	93373.CEL	93389.CEL
93182	RHCYT	ethanol	CHEMBL545	NA	FALSE	control_1	180000	micromolar	DMSO .1 %	drugmatrix_93182.CEL			93170.CEL	93374.CEL	93382.CEL
93183	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_0.67	1481	micromolar	DMSO .1 %	drugmatrix_93183.CEL			93139.CEL	93382.CEL	93382.CEL
93184	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93184.CEL			93184.CEL	93386.CEL	93389.CEL
93185	RHCYT	nimesulide	CHEMBL56367	NA	FALSE	control_0.67	61.7	micromolar	DMSO .1 %	drugmatrix_93185.CEL			93188.CEL	93389.CEL	93389.CEL
93186	RHCYT	itraconazole	CHEMBL22587	NA	FALSE	control_0.67	10	micromolar	DMSO .1 %	drugmatrix_93186.CEL			93139.CEL	93391.CEL	93382.CEL
93187	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93187.CEL			93189.CEL	93313.CEL	93302.CEL
93188	RHCYT	sporidesmin a		NA	FALSE	control_1	0.15	micromolar	DMSO .1 %	drugmatrix_93188.CEL			93170.CEL	93282.CEL	93282.CEL
93189	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93189.CEL			93189.CEL	93314.CEL	93302.CEL
93190	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_1	132	micromolar	DMSO .1 %	drugmatrix_93190.CEL			93134.CEL	93795.CEL	93282.CEL
93191	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_0.67	150	micromolar	DMSO .1 %	drugmatrix_93191.CEL			93189.CEL	93295.CEL	93282.CEL
93192	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_1	69	micromolar	DMSO .1 %	drugmatrix_93192.CEL			93170.CEL	93296.CEL	93302.CEL
93193	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_93193.CEL			93170.CEL	93319.CEL	93282.CEL
93194	RHCYT	ethanol	CHEMBL545	NA	FALSE	control_0.67	180000	micromolar	DMSO .1 %	drugmatrix_93194.CEL			93189.CEL	93302.CEL	93302.CEL
93195	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_0.67	1.3	micromolar	DMSO .1 %	drugmatrix_93195.CEL			93189.CEL	93320.CEL	93302.CEL
93196	RHCYT	fluphenazine	CHEMBL726	NA	FALSE	control_0.67	45	micromolar	DMSO .1 %	drugmatrix_93196.CEL			93189.CEL	93305.CEL	93302.CEL
93197	RHCYT	ifosfamide	CHEMBL1024	NA	FALSE	control_0.67	11000	micromolar	DMSO .1 %	drugmatrix_93197.CEL			93189.CEL	93323.CEL	93282.CEL
93198	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_0.67	69	micromolar	DMSO .1 %	drugmatrix_93198.CEL			93189.CEL	93326.CEL	93282.CEL
93199	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_1	0.5	micromolar	DMSO .1 %	drugmatrix_93199.CEL			93170.CEL	93329.CEL	93282.CEL
93200	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_1	77	micromolar	DMSO .1 %	drugmatrix_93200.CEL			93170.CEL	93331.CEL	93302.CEL
93201	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_0.67	100000	micromolar	DMSO .1 %	drugmatrix_93201.CEL			93139.CEL	93333.CEL	93282.CEL
93202	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_1	150	micromolar	DMSO .1 %	drugmatrix_93202.CEL			93170.CEL	93334.CEL	93302.CEL
93203	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_1	14800	micromolar	DMSO .1 %	drugmatrix_93203.CEL			93134.CEL	93458.CEL	93458.CEL
93204	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93204.CEL			93204.CEL	93460.CEL	93458.CEL
93205	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_1	167	micromolar	DMSO .1 %	drugmatrix_93205.CEL			93134.CEL	93461.CEL	93458.CEL
93206	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93206.CEL			93206.CEL	93462.CEL	93606.CEL
93208	RHCYT	gemfibrozil	CHEMBL457	NA	FALSE	control_0.67	2000	micromolar	DMSO .1 %	drugmatrix_93208.CEL			93187.CEL	93474.CEL	93606.CEL
93209	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_1	1.3	micromolar	DMSO .1 %	drugmatrix_93209.CEL			93170.CEL	93480.CEL	93606.CEL
93210	RHCYT	valdecoxib	CHEMBL865	NA	FALSE	control_0.67	450	micromolar	DMSO .1 %	drugmatrix_93210.CEL			93189.CEL	93482.CEL	93606.CEL
93211	RHCYT	sparteine	CHEMBL44625	NA	FALSE	control_1	2222	micromolar	DMSO .1 %	drugmatrix_93211.CEL			93170.CEL	93484.CEL	93606.CEL
93212	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_0.67	132	micromolar	DMSO .1 %	drugmatrix_93212.CEL			93139.CEL	93486.CEL	93458.CEL
93213	RHCYT	doxofylline	CHEMBL1527608	NA	FALSE	control_1	13500	micromolar	DMSO .1 %	drugmatrix_93213.CEL			93170.CEL	93488.CEL	93606.CEL
93214	RHCYT	acetaminophen	CHEMBL112	NA	FALSE	control_1	1950	micromolar	DMSO .1 %	drugmatrix_93214.CEL			93309.CEL	93489.CEL	93458.CEL
93215	RHCYT	ethanol	CHEMBL545	NA	FALSE	control_0.67	180000	micromolar	DMSO .1 %	drugmatrix_93215.CEL			93571.CEL	93494.CEL	93458.CEL
93216	RHCYT	fluphenazine	CHEMBL726	NA	FALSE	control_1	45	micromolar	DMSO .1 %	drugmatrix_93216.CEL			93245.CEL	93496.CEL	93458.CEL
93217	RHCYT	tenidap	CHEMBL1908355	NA	FALSE	control_1	41	micromolar	DMSO .1 %	drugmatrix_93217.CEL			93224.CEL	93500.CEL	93606.CEL
93218	RHCYT	idarubicin	CHEMBL1117	NA	FALSE	control_0.67	1.5	micromolar	DMSO .1 %	drugmatrix_93218.CEL			93228.CEL	93606.CEL	93606.CEL
93219	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_0.67	150	micromolar	DMSO .1 %	drugmatrix_93219.CEL			93571.CEL	93607.CEL	93458.CEL
93220	RHCYT	itraconazole	CHEMBL22587	NA	FALSE	control_1	10	micromolar	DMSO .1 %	drugmatrix_93220.CEL			93309.CEL	92998.CEL	93036.CEL
93221	RHCYT	valdecoxib	CHEMBL865	NA	FALSE	control_0.67	450	micromolar	DMSO .1 %	drugmatrix_93221.CEL			93571.CEL	92999.CEL	93036.CEL
93222	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_1	69	micromolar	DMSO .1 %	drugmatrix_93222.CEL			93245.CEL	93001.CEL	93036.CEL
93223	RHCYT	carmustine	CHEMBL513	NA	FALSE	control_1	550	micromolar	DMSO .1 %	drugmatrix_93223.CEL			93245.CEL	93005.CEL	93036.CEL
93224	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93224.CEL			93224.CEL	93007.CEL	93036.CEL
93225	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_1	1.3	micromolar	DMSO .1 %	drugmatrix_93225.CEL			93245.CEL	93011.CEL	93036.CEL
93226	RHCYT	ifosfamide	CHEMBL1024	NA	FALSE	control_0.67	11000	micromolar	DMSO .1 %	drugmatrix_93226.CEL			93228.CEL	93012.CEL	93029.CEL
93227	RHCYT	danazol	CHEMBL1479	NA	FALSE	control_1	95	micromolar	DMSO .1 %	drugmatrix_93227.CEL			93224.CEL	93018.CEL	93029.CEL
93228	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93228.CEL			93228.CEL	93019.CEL	93036.CEL
93229	RHCYT	valdecoxib	CHEMBL865	NA	FALSE	control_1	450	micromolar	DMSO .1 %	drugmatrix_93229.CEL			93245.CEL	93023.CEL	93029.CEL
93230	RHCYT	sporidesmin a		NA	FALSE	control_0.67	0.15	micromolar	DMSO .1 %	drugmatrix_93230.CEL			93571.CEL	93029.CEL	93029.CEL
93231	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93231.CEL			93309.CEL	93065.CEL	93029.CEL
93232	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_0.67	23	micromolar	DMSO .1 %	drugmatrix_93232.CEL			93234.CEL	93035.CEL	93029.CEL
93233	RHCYT	amitriptyline	CHEMBL629	NA	FALSE	control_1	72	micromolar	DMSO .1 %	drugmatrix_93233.CEL			93224.CEL	93036.CEL	93036.CEL
93234	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93234.CEL			93234.CEL	93963.CEL	93036.CEL
93235	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_0.67	20	micromolar	DMSO .1 %	drugmatrix_93235.CEL			93571.CEL	93072.CEL	93029.CEL
93236	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_1	150	micromolar	DMSO .1 %	drugmatrix_93236.CEL			93245.CEL	93074.CEL	93029.CEL
93237	RHCYT	staurosporine	CHEMBL290084	NA	FALSE	control_0.67	1.3	micromolar	DMSO .1 %	drugmatrix_93237.CEL			93571.CEL	93076.CEL	93029.CEL
93238	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_93238.CEL			93245.CEL	93577.CEL	93029.CEL
93239	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_1	23	micromolar	DMSO .1 %	drugmatrix_93239.CEL			93309.CEL	93578.CEL	93036.CEL
93240	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93240.CEL			93234.CEL	93078.CEL	93029.CEL
93241	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_1	77	micromolar	DMSO .1 %	drugmatrix_93241.CEL			93245.CEL	93082.CEL	93036.CEL
93242	RHCYT	sporidesmin a		NA	FALSE	control_1	0.15	micromolar	DMSO .1 %	drugmatrix_93242.CEL			93245.CEL	93217.CEL	93224.CEL
93243	RHCYT	carvedilol	CHEMBL723	NA	FALSE	control_1	50	micromolar	DMSO .1 %	drugmatrix_93243.CEL			93309.CEL	93218.CEL	93228.CEL
93244	RHCYT	sulconazole	CHEMBL1221	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_93244.CEL			93309.CEL	95508.CEL	93224.CEL
93245	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93245.CEL			93245.CEL	93224.CEL	93224.CEL
93246	RHCYT	nortriptyline	CHEMBL445	NA	FALSE	control_0.67	70	micromolar	DMSO .1 %	drugmatrix_93246.CEL			93571.CEL	93226.CEL	93228.CEL
93247	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_0.67	0.5	micromolar	DMSO .1 %	drugmatrix_93247.CEL			93571.CEL	93227.CEL	93224.CEL
93248	RHCYT	clozapine	CHEMBL42	NA	FALSE	control_0.67	69	micromolar	DMSO .1 %	drugmatrix_93248.CEL			93571.CEL	93228.CEL	93228.CEL
93249	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_0.67	14800	micromolar	DMSO .1 %	drugmatrix_93249.CEL			93234.CEL	93233.CEL	93224.CEL
93250	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_0.67	77	micromolar	DMSO .1 %	drugmatrix_93250.CEL			93571.CEL	93845.CEL	93224.CEL
93251	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93251.CEL			93234.CEL	93570.CEL	93228.CEL
93252	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_0.67	500	micromolar	DMSO .1 %	drugmatrix_93252.CEL			93234.CEL	93846.CEL	93228.CEL
93253	RHCYT	tenidap	CHEMBL1908355	NA	FALSE	control_0.67	41	micromolar	DMSO .1 %	drugmatrix_93253.CEL			93228.CEL	93572.CEL	93228.CEL
93254	RHCYT	sparteine	CHEMBL44625	NA	FALSE	control_0.67	2222	micromolar	DMSO .1 %	drugmatrix_93254.CEL			93571.CEL	93253.CEL	93228.CEL
93255	RHCYT	ethanol	CHEMBL545	NA	FALSE	control_1	180000	micromolar	DMSO .1 %	drugmatrix_93255.CEL			93245.CEL	93260.CEL	93224.CEL
93256	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_1	14800	micromolar	DMSO .1 %	drugmatrix_93256.CEL			93309.CEL	93084.CEL	93127.CEL
93257	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_1	0.5	micromolar	DMSO .1 %	drugmatrix_93257.CEL			93245.CEL	93086.CEL	93123.CEL
93258	RHCYT	carmustine	CHEMBL513	NA	FALSE	control_0.67	550	micromolar	DMSO .1 %	drugmatrix_93258.CEL			93571.CEL	93088.CEL	93127.CEL
93259	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93259.CEL			93309.CEL	93556.CEL	93127.CEL
93260	RHCYT	tgf beta-1, human recombinant		NA	FALSE	control_1	5 ng/ml	micromolar	DMSO .1 %	drugmatrix_93260.CEL			93224.CEL	93557.CEL	93123.CEL
93277	RHCYT	carvedilol	CHEMBL723	NA	FALSE	control_0.67	50	micromolar	DMSO .1 %	drugmatrix_93277.CEL			93234.CEL	93560.CEL	93123.CEL
93278	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93278.CEL			93278.CEL	93112.CEL	93123.CEL
93279	RHCYT	celecoxib	CHEMBL118	NA	FALSE	control_0.67	100	micromolar	DMSO .1 %	drugmatrix_93279.CEL			93278.CEL	93119.CEL	93127.CEL
93280	RHCYT	stavudine	CHEMBL124363	NA	FALSE	control_1	1120	micromolar	DMSO .1 %	drugmatrix_93280.CEL			93301.CEL	93122.CEL	93127.CEL
93281	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93281.CEL			93281.CEL	93123.CEL	93123.CEL
93282	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93282.CEL			93282.CEL	93127.CEL	93127.CEL
93283	RHCYT	pantoprazole	CHEMBL1502	NA	FALSE	control_1	650	micromolar	DMSO .1 %	drugmatrix_93283.CEL			93301.CEL	93563.CEL	93123.CEL
93284	RHCYT	N,N-dimethylformamide	CHEMBL268291	NA	FALSE	control_1	65000	micromolar	DMSO .1 %	drugmatrix_93284.CEL			93301.CEL	93589.CEL	93589.CEL
93285	RHCYT	nimesulide	CHEMBL56367	NA	FALSE	control_0.67	61.7	micromolar	DMSO .1 %	drugmatrix_93285.CEL			93308.CEL	93287.CEL	93287.CEL
93286	RHCYT	rofecoxib	CHEMBL122	NA	FALSE	control_1	111	micromolar	DMSO .1 %	drugmatrix_93286.CEL			93301.CEL	93293.CEL	93589.CEL
93287	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93287.CEL			93287.CEL	93590.CEL	93589.CEL
93288	RHCYT	cadmium dichloride	CHEMBL1458880	NA	FALSE	control_0.67	8	micromolar	DMSO .1 %	drugmatrix_93288.CEL			93278.CEL	93297.CEL	93287.CEL
93289	RHCYT	sertraline	CHEMBL809	NA	FALSE	control_1	23	micromolar	DMSO .1 %	drugmatrix_93289.CEL			93301.CEL	93299.CEL	93287.CEL
93290	RHCYT	stavudine	CHEMBL124363	NA	FALSE	control_0.67	1120	micromolar	DMSO .1 %	drugmatrix_93290.CEL			93278.CEL	93303.CEL	93287.CEL
93291	RHCYT	desloratadine	CHEMBL1172	NA	FALSE	control_0.67	57	micromolar	DMSO .1 %	drugmatrix_93291.CEL			93278.CEL	93325.CEL	93589.CEL
93293	RHCYT	chlorambucil	CHEMBL515	NA	FALSE	control_1	1540	micromolar	DMSO .1 %	drugmatrix_93293.CEL			93589.CEL	93405.CEL	93442.CEL
93294	RHCYT	sotalol	CHEMBL471	NA	FALSE	control_0.67	6666	micromolar	DMSO .1 %	drugmatrix_93294.CEL			93308.CEL	93425.CEL	93442.CEL
93295	RHCYT	lomustine	CHEMBL514	NA	FALSE	control_0.67	560	micromolar	DMSO .1 %	drugmatrix_93295.CEL			93282.CEL	93431.CEL	93450.CEL
93296	RHCYT	norethindrone	CHEMBL1162	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_93296.CEL			93302.CEL	93442.CEL	93442.CEL
93297	RHCYT	chlorambucil	CHEMBL515	NA	FALSE	control_0.67	1540	micromolar	DMSO .1 %	drugmatrix_93297.CEL			93287.CEL	93515.CEL	93442.CEL
93298	RHCYT	amantadine	CHEMBL660	NA	FALSE	control_1	1500	micromolar	DMSO .1 %	drugmatrix_93298.CEL			93301.CEL	93450.CEL	93450.CEL
93299	RHCYT	daunorubicin	CHEMBL178	NA	FALSE	control_0.67	1.5	micromolar	DMSO .1 %	drugmatrix_93299.CEL			93287.CEL	93454.CEL	93450.CEL
93300	RHCYT	nimesulide	CHEMBL56367	NA	FALSE	control_1	61.7	micromolar	DMSO .1 %	drugmatrix_93300.CEL			93281.CEL	93456.CEL	93506.CEL
