Source Name	Characteristics[Strain]	Factor Value[Compound]	Comment [ChEMBL ID]	Characteristics[Compound Class]	Characteristics[Control]	Characteristics[Sample Match]	Factor Value[Dose]	Characteristics[DoseUnit]	Characteristics[Vehicle]	array_file
BPI-T3-PRN 10-24h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	BPI-T3-DMSO-24h	210	micromolar	DMSO	carcinogenomics_BPI-T3-PRN_10-24h-R-1-1.CEL
BPI-T3-PRN 10-72h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	BPI-T3-DMSO-72h	210	micromolar	DMSO	carcinogenomics_BPI-T3-PRN_10-72h-R-1-1.CEL
BPI-T3-SPB5-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T3-DMSO-24h	50	micromolar	DMSO	carcinogenomics_BPI-T3-SPB10-24h-R-1-1.CEL
BPI-T3-SPB5-72h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T3-DMSO-72h	50	micromolar	DMSO	carcinogenomics_BPI-T3-SPB10-72h-R-1-1.CEL
BPI-T3-SPB10-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T3-DMSO-24h	25	micromolar	DMSO	carcinogenomics_BPI-T3-SPB5-24h-R-1-1.CEL
BPI-T3-SPB10-72h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T3-DMSO-72h	25	micromolar	DMSO	carcinogenomics_BPI-T3-SPB5-72h-R-1-1.CEL
BPI-T3-TBT 10-24h-R-1-1	HepaRG	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	BPI-T3-DMSO-24h	2000	micromolar	DMSO	carcinogenomics_BPI-T3-TBT_10-24h-R-1-1.CEL
BPI-T3-TBT 10-72h-R-1-1	HepaRG	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	BPI-T3-DMSO-72h	2000	micromolar	DMSO	carcinogenomics_BPI-T3-TBT_10-72h-R-1-1.CEL
BPI-T3-TPA 10-24h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	BPI-T3-DMSO-24h	35	micromolar	DMSO	carcinogenomics_BPI-T3-TPA_10-24h-R-1-1.CEL
BPI-T3-TPA 10-72h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	BPI-T3-DMSO-72h	35	micromolar	DMSO	carcinogenomics_BPI-T3-TPA_10-72h-R-1-1.CEL
BPI-T4-2NF5-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T4-DMSO-24h	9	micromolar	DMSO	carcinogenomics_BPI-T4-2NF10-24h-R-1-1.CEL
BPI-T4-2NF5-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T4-DMSO-72h	9	micromolar	DMSO	carcinogenomics_BPI-T4-2NF10-72h-R-1-1.CEL
BPI-T4-2NF10-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T4-DMSO-24h	18	micromolar	DMSO	carcinogenomics_BPI-T4-2NF5-24h-R-1-1.CEL
BPI-T4-2NF10-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T4-DMSO-72h	18	micromolar	DMSO	carcinogenomics_BPI-T4-2NF5-72h-R-1-1.CEL
BPI-T4-BaP5-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T4-DMSO-24h	2.5	micromolar	DMSO	carcinogenomics_BPI-T4-BaP10-24h-R-1-1.CEL
BPI-T4-BaP5-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T4-DMSO-72h	2.5	micromolar	DMSO	carcinogenomics_BPI-T4-BaP10-72h-R-1-1.CEL
BPI-T4-BaP10-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T4-DMSO-24h	5	micromolar	DMSO	carcinogenomics_BPI-T4-BaP5-24h-R-1-1.CEL
BPI-T4-BaP10-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T4-DMSO-72h	5	micromolar	DMSO	carcinogenomics_BPI-T4-BaP5-72h-R-1-1.CEL
BPI-T4-DIC5-24h-R-1-1	HepaRG	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	BPI-T4-Media-24h	25	micromolar	Medium	carcinogenomics_BPI-T4-DIC10-24h-R-1-1.CEL
BPI-T4-DIC5-72h-R-1-1	HepaRG	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	BPI-T4-Media-48h	25	micromolar	Medium	carcinogenomics_BPI-T4-DIC10-72h-R-1-1.CEL
BPI-T4-DIC10-24h-R-1-1	HepaRG	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	BPI-T4-Media-24h	50	micromolar	Medium	carcinogenomics_BPI-T4-DIC5-24h-R-1-1.CEL
BPI-T4-DIC10-72h-R-1-1	HepaRG	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	BPI-T4-Media-48h	50	micromolar	Medium	carcinogenomics_BPI-T4-DIC5-72h-R-1-1.CEL
BPI-T4-DMN5-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T4-DMSO-24h	100	micromolar	DMSO	carcinogenomics_BPI-T4-DMN10-24h-R-1-1.CEL
BPI-T4-DMN5-72h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T4-DMSO-72h	100	micromolar	DMSO	carcinogenomics_BPI-T4-DMN10-72h-R-1-1.CEL
BPI-T4-DMN10-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T4-DMSO-24h	200	micromolar	DMSO	carcinogenomics_BPI-T4-DMN5-24h-R-1-1.CEL
BPI-T4-DMN10-72h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T4-DMSO-72h	200	micromolar	DMSO	carcinogenomics_BPI-T4-DMN5-72h-R-1-1.CEL
BPI-T4-DMO5-24h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T4-Media-24h	187.5	micromolar	Medium	carcinogenomics_BPI-T4-DMO10-24h-R-1-1.CEL
BPI-T4-DMO5-72h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T4-Media-48h	187.5	micromolar	Medium	carcinogenomics_BPI-T4-DMO10-72h-R-1-1.CEL
BPI-T4-DMO10-24h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T4-Media-24h	375	micromolar	Medium	carcinogenomics_BPI-T4-DMO5-24h-R-1-1.CEL
BPI-T4-DMO10-72h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T4-Media-48h	375	micromolar	Medium	carcinogenomics_BPI-T4-DMO5-72h-R-1-1.CEL
BPI-T4-DMSO-24h-R-1-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T4-DMSO-24h-R-1-1.CEL
BPI-T4-DMSO-72h-R-1-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T4-DMSO-72h-R-1-1.CEL
BPI-T4-Media-24h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T4-Media-24h-R-1-1.CEL
BPI-T4-Media-72h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T4-Media-72h-R-1-1.CEL
BPI-T4-MPH5-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	37.5	micromolar	DMSO	carcinogenomics_BPI-T4-MPH10-24h-R-1-1.CEL
BPI-T4-MPH5-72h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	37.5	micromolar	DMSO	carcinogenomics_BPI-T4-MPH10-72h-R-1-1.CEL
BPI-T4-MPH10-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	75	micromolar	DMSO	carcinogenomics_BPI-T4-MPH5-24h-R-1-1.CEL
BPI-T4-MPH10-72h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	75	micromolar	DMSO	carcinogenomics_BPI-T4-MPH5-72h-R-1-1.CEL
BPI-T4-NFE5-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T4-DMSO-24h-R-1-1	20	micromolar	DMSO	carcinogenomics_BPI-T4-NFE10-24h-R-1-1.CEL
BPI-T4-NFE5-72h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T4-DMSO-72h-R-1-1	20	micromolar	DMSO	carcinogenomics_BPI-T4-NFE10-72h-R-1-1.CEL
BPI-T4-NFE10-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T4-DMSO-24h-R-1-1	40	micromolar	DMSO	carcinogenomics_BPI-T4-NFE5-24h-R-1-1.CEL
BPI-T4-NFE10-72h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T4-DMSO-72h-R-1-1	40	micromolar	DMSO	carcinogenomics_BPI-T4-NFE5-72h-R-1-1.CEL
BPI-T4-PPX5-24h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	1.6	micromolar	DMSO	carcinogenomics_BPI-T4-PPX10-24h-R-1-1.CEL
BPI-T4-PPX5-72h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	1.6	micromolar	DMSO	carcinogenomics_BPI-T4-PPX10-72h-R-1-1.CEL
BPI-T4-PPX10-24h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	3.2	micromolar	DMSO	carcinogenomics_BPI-T4-PPX5-24h-R-1-1.CEL
BPI-T4-PPX10-72h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	3.2	micromolar	DMSO	carcinogenomics_BPI-T4-PPX5-72h-R-1-1.CEL
BPI-T4-SPB5-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	25	micromolar	DMSO	carcinogenomics_BPI-T4-SPB10-24h-R-1-1.CEL
BPI-T4-SPB5-72h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	25	micromolar	DMSO	carcinogenomics_BPI-T4-SPB10-72h-R-1-1.CEL
BPI-T4-SPB10-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T4-DMSO-24h-R-1-1	50	micromolar	DMSO	carcinogenomics_BPI-T4-SPB5-24h-R-1-1.CEL
BPI-T4-SPB10-72h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	BPI-T4-DMSO-72h-R-1-1	50	micromolar	DMSO	carcinogenomics_BPI-T4-SPB5-72h-R-1-1.CEL
BPI-T5-Media-24h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T5-Media-24h-R-1-1.CEL
BPI-T5-Media-72h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T5-Media-72h-R-1-1.CEL
BPI-T5-NNK5-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T5-Media-24h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T5-NNK10-24h-R-1-1.CEL
BPI-T5-NNK5-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T5-Media-72h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T5-NNK10-72h-R-1-1.CEL
BPI-T5-NNK10-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T5-Media-24h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T5-NNK5-24h-R-1-1.CEL
BPI-T5-NNK10-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T5-Media-72h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T5-NNK5-72h-R-1-1.CEL
BPI-T6-Media-24h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T6-Media-24h-R-1-1.CEL
BPI-T6-Media-72h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T6-Media-72h-R-1-1.CEL
BPI-T6-NNK5-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T6-Media-24h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T6-NNK10-24h-R-1-1.CEL
BPI-T6-NNK5-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T6-Media-72h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T6-NNK10-72h-R-1-1.CEL
BPI-T6-NNK10-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T6-Media-24h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T6-NNK5-24h-R-1-1.CEL
BPI-T6-NNK10-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T6-Media-72h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T6-NNK5-72h-R-1-1.CEL
BPI-T7-Media-24h-R-1-1	HepaRG	untreated		CTRL	TRUE			micromolar	Medium	carcinogenomics_BPI-T7-Media-24h-R-1-1.CEL
BPI-T7-Media-72h-R-1-1	HepaRG	untreated		CTRL	TRUE			micromolar	Medium	carcinogenomics_BPI-T7-Media-72h-R-1-1.CEL
BPI-T7-NNK5-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T7-Media-24h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T7-NNK10-24h-R-1-1.CEL
BPI-T7-NNK5-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T7-Media-72h-R-1-1	3750	micromolar	DMSO	carcinogenomics_BPI-T7-NNK10-72h-R-1-1.CEL
BPI-T7-NNK10-24h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T7-Media-24h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T7-NNK5-24h-R-1-1.CEL
BPI-T7-NNK10-72h-R-1-1	HepaRG	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	BPI-T7-Media-72h-R-1-1	7500	micromolar	DMSO	carcinogenomics_BPI-T7-NNK5-72h-R-1-1.CEL
CEL-007-AFL1-24-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-007-DMSO-24-R	2	micromolar	DMSO	carcinogenomics_CEL-007-AFL1-24-R-1-2.CEL
CEL-007-AFL1-72-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-007-DMSO-72-R	2	micromolar	DMSO	carcinogenomics_CEL-007-AFL1-72-R-1-2.CEL
CEL-007-CLO1-24-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-007-DMSO-24-R	1.615	millimolar	DMSO	carcinogenomics_CEL-007-CLO1-24-R-1-2.CEL
CEL-007-CLO1-72-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-007-DMSO-72-R	1.615	millimolar	DMSO	carcinogenomics_CEL-007-CLO1-72-R-1-2.CEL
CEL-007-CYC1-24-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-007-DMSO-24-R	8.155	millimolar	DMSO	carcinogenomics_CEL-007-CYC1-24-R-1-2.CEL
CEL-007-CYC1-72-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-007-DMSO-72-R	8.155	millimolar	DMSO	carcinogenomics_CEL-007-CYC1-72-R-1-2.CEL
CEL-007-DMSO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-007-DMSO-24-R-1-2.CEL
CEL-007-DMSO-24-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-007-DMSO-24-R-2-2.CEL
CEL-007-DMSO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-007-DMSO-72-R-1-2.CEL
CEL-007-DMSO-72-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0	millimolar	DMSO	carcinogenomics_CEL-007-DMSO-72-R-2-2.CEL
CEL-007-TOL1-24-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-007-DMSO-24-R	5.485	millimolar	DMSO	carcinogenomics_CEL-007-TOL1-24-R-1-2.CEL
CEL-007-TOL1-72-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-007-DMSO-72-R	5.485	millimolar	DMSO	carcinogenomics_CEL-007-TOL1-72-R-1-2.CEL
CEL-007-TPA1-24-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-007-DMSO-24-R	0.1	micromolar	DMSO	carcinogenomics_CEL-007-TPA1-24-R-1-2.CEL
CEL-007-TPA1-72-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-007-DMSO-72-R	0.1	micromolar	DMSO	carcinogenomics_CEL-007-TPA1-72-R-1-2.CEL
CEL-007-WYE1-24-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-007-DMSO-24-R	0.406	millimolar	DMSO	carcinogenomics_CEL-007-WYE1-24-R-1-2.CEL
CEL-007-WYE1-72-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-007-DMSO-72-R	0.406	millimolar	DMSO	carcinogenomics_CEL-007-WYE1-72-R-1-2.CEL
CEL-009-AFL1-24-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-009-DMSO-24-R	2	micromolar	DMSO	carcinogenomics_CEL-009-AFL1-24-R-1-2.CEL
CEL-009-AFL1-72-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-009-DMSO-72-R	2	micromolar	DMSO	carcinogenomics_CEL-009-AFL1-72-R-1-2.CEL
CEL-009-CLO1-24-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-009-DMSO-24-R	1.615	millimolar	DMSO	carcinogenomics_CEL-009-CLO1-24-R-1-2.CEL
CEL-009-CLO1-72-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-009-DMSO-72-R	1.615	millimolar	DMSO	carcinogenomics_CEL-009-CLO1-72-R-1-2.CEL
CEL-009-CYC1-24-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-009-DMSO-24-R	8.155	millimolar	DMSO	carcinogenomics_CEL-009-CYC1-24-R-1-2.CEL
CEL-009-CYC1-72-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-009-DMSO-72-R	8.155	millimolar	DMSO	carcinogenomics_CEL-009-CYC1-72-R-1-2.CEL
CEL-009-DMSO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-009-DMSO-24-R-1-2.CEL
CEL-009-DMSO-24-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-009-DMSO-24-R-2-2.CEL
CEL-009-DMSO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-009-DMSO-72-R-1-2.CEL
CEL-009-DMSO-72-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-009-DMSO-72-R-2-2.CEL
CEL-009-TOL1-24-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-009-DMSO-24-R	5.485	millimolar	DMSO	carcinogenomics_CEL-009-TOL1-24-R-1-2.CEL
CEL-009-TOL1-72-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-009-DMSO-72-R	5.485	millimolar	DMSO	carcinogenomics_CEL-009-TOL1-72-R-1-2.CEL
CEL-009-TPA1-24-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-009-DMSO-24-R	0.1	micromolar	DMSO	carcinogenomics_CEL-009-TPA1-24-R-1-2.CEL
CEL-009-TPA1-72-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-009-DMSO-72-R	0.1	micromolar	DMSO	carcinogenomics_CEL-009-TPA1-72-R-1-2.CEL
CEL-009-WYE1-24-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-009-DMSO-24-R	0.406	millimolar	DMSO	carcinogenomics_CEL-009-WYE1-24-R-1-2.CEL
CEL-009-WYE1-72-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-009-DMSO-72-R	0.406	millimolar	DMSO	carcinogenomics_CEL-009-WYE1-72-R-1-2.CEL
CEL-010-AFL1-24-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-010-DMSO-24-R	2	micromolar	DMSO	carcinogenomics_CEL-010-AFL1-24-R-1-2.CEL
CEL-010-AFL1-72-R-1-2	hESC_DE-Hep	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	CEL-010-DMSO-72-R	2	micromolar	DMSO	carcinogenomics_CEL-010-AFL1-72-R-1-2.CEL
CEL-010-CLO1-24-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-010-DMSO-24-R	1.615	millimolar	DMSO	carcinogenomics_CEL-010-CLO1-24-R-1-2.CEL
CEL-010-CLO1-72-R-1-2	hESC_DE-Hep	clonidine	CHEMBL134	Non-carcinogen	FALSE	CEL-010-DMSO-72-R	1.615	millimolar	DMSO	carcinogenomics_CEL-010-CLO1-72-R-1-2.CEL
CEL-010-CYC1-24-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-010-DMSO-24-R	8.155	millimolar	DMSO	carcinogenomics_CEL-010-CYC1-24-R-1-2.CEL
CEL-010-CYC1-72-R-1-2	hESC_DE-Hep	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	CEL-010-DMSO-72-R	8.155	millimolar	DMSO	carcinogenomics_CEL-010-CYC1-72-R-1-2.CEL
CEL-010-DMSO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-010-DMSO-24-R-1-2.CEL
CEL-010-DMSO-24-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-010-DMSO-24-R-2-2.CEL
CEL-010-DMSO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-010-DMSO-72-R-1-2.CEL
CEL-010-DMSO-72-R-2-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-010-DMSO-72-R-2-2.CEL
CEL-010-TOL1-24-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-010-DMSO-24-R	5.485	millimolar	DMSO	carcinogenomics_CEL-010-TOL1-24-R-1-2.CEL
CEL-010-TOL1-72-R-1-2	hESC_DE-Hep	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	CEL-010-DMSO-72-R	5.485	millimolar	DMSO	carcinogenomics_CEL-010-TOL1-72-R-1-2.CEL
CEL-010-TPA1-24-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-010-DMSO-24-R	0.1	micromolar	DMSO	carcinogenomics_CEL-010-TPA1-24-R-1-2.CEL
CEL-010-TPA1-72-R-1-2	hESC_DE-Hep	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	CEL-010-DMSO-72-R	0.1	micromolar	DMSO	carcinogenomics_CEL-010-TPA1-72-R-1-2.CEL
CEL-010-WYE1-24-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-010-DMSO-24-R	0.406	millimolar	DMSO	carcinogenomics_CEL-010-WYE1-24-R-1-2.CEL
CEL-010-WYE1-72-R-1-2	hESC_DE-Hep	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	CEL-010-DMSO-72-R	0.406	millimolar	DMSO	carcinogenomics_CEL-010-WYE1-72-R-1-2.CEL
CEL-B-2NF1-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	32	micromolar	DMSO	carcinogenomics_CEL-B-2NF1-24-R-1-2.CEL
