Source Name	Characteristics [CellLine]	Factor Value [COMPOUND]	ChEMBL_ID	Genotoxicity	Carcinogenicity	Characteristics_Control	Extract Name	Factor Value [DOSE]	Unit [ConcentrationUnit]	Time	TimeUnit	Replicate	Characteristics_Vehicle	array_file	control_file	final_array_file
alpidem_3_24h_1	not specified	alpidem	CHEMBL54349	NA	NA	FALSE	alpidem_0_24h_1	3	uM	24	h	1	NA	003016092022.CEL	003016092020.CEL	study06_CHEMBL54349_3uM_24h_1
alpidem_3_24h_2	not specified	alpidem	CHEMBL54349	NA	NA	FALSE	alpidem_0_24h_2	3	uM	24	h	2	NA	003016092023.CEL	003016092021.CEL	study06_CHEMBL54349_3uM_24h_2
alpidem_10_24h_1	not specified	alpidem	CHEMBL54349	NA	NA	FALSE	alpidem_0_24h_1	10	uM	24	h	1	NA	003016092024.CEL	003016092020.CEL	study06_CHEMBL54349_10uM_24h_1
alpidem_10_24h_2	not specified	alpidem	CHEMBL54349	NA	NA	FALSE	alpidem_0_24h_2	10	uM	24	h	2	NA	003016092025.CEL	003016092021.CEL	study06_CHEMBL54349_10uM_24h_2
amiodarone_0_2h_1	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	2	h	1	NA	003016027024.CEL		
amiodarone_0_2h_2	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	2	h	2	NA	003016027025.CEL		
amiodarone_0.28_2h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_1	0.28	uM	2	h	1	NA	003016027026.CEL	003016027024.CEL	study06_CHEMBL633_0.28uM_2h_1
amiodarone_0.28_2h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_2	0.28	uM	2	h	2	NA	003016028001.CEL	003016027025.CEL	study06_CHEMBL633_0.28uM_2h_2
amiodarone_1.4_2h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_1	1.4	uM	2	h	1	NA	003016028002.CEL	003016027024.CEL	study06_CHEMBL633_1.4uM_2h_1
amiodarone_1.4_2h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_2	1.4	uM	2	h	2	NA	003016028003.CEL	003016027025.CEL	study06_CHEMBL633_1.4uM_2h_2
amiodarone_7_2h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_1	7	uM	2	h	1	NA	003016028004.CEL	003016027024.CEL	study06_CHEMBL633_7uM_2h_1
amiodarone_7_2h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_2h_2	7	uM	2	h	2	NA	003016028005.CEL	003016027025.CEL	study06_CHEMBL633_7uM_2h_2
amiodarone_0_8h_1	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	8	h	1	NA	003016028006.CEL		
amiodarone_0_8h_2	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	8	h	2	NA	003016028007.CEL		
amiodarone_0.28_8h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_1	0.28	uM	8	h	1	NA	003016028008.CEL	003016028006.CEL	study06_CHEMBL633_0.28uM_8h_1
amiodarone_0.28_8h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_2	0.28	uM	8	h	2	NA	003016028009.CEL	003016028007.CEL	study06_CHEMBL633_0.28uM_8h_2
amiodarone_1.4_8h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_1	1.4	uM	8	h	1	NA	003016028010.CEL	003016028006.CEL	study06_CHEMBL633_1.4uM_8h_1
amiodarone_1.4_8h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_2	1.4	uM	8	h	2	NA	003016028011.CEL	003016028007.CEL	study06_CHEMBL633_1.4uM_8h_2
amiodarone_7_8h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_1	7	uM	8	h	1	NA	003016028012.CEL	003016028006.CEL	study06_CHEMBL633_7uM_8h_1
amiodarone_7_8h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_8h_2	7	uM	8	h	2	NA	003016028013.CEL	003016028007.CEL	study06_CHEMBL633_7uM_8h_2
amiodarone_0_24h_1	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	24	h	1	NA	003016028014.CEL		
amiodarone_0_24h_2	not specified	amiodarone	CHEMBL633	NA	NA	TRUE		0	uM	24	h	2	NA	003016028015.CEL		
amiodarone_0.28_24h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_1	0.28	uM	24	h	1	NA	003016028016.CEL	003016028014.CEL	study06_CHEMBL633_0.28uM_24h_1
amiodarone_0.28_24h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_2	0.28	uM	24	h	2	NA	003016028017.CEL	003016028015.CEL	study06_CHEMBL633_0.28uM_24h_2
amiodarone_1.4_24h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_1	1.4	uM	24	h	1	NA	003016028018.CEL	003016028014.CEL	study06_CHEMBL633_1.4uM_24h_1
amiodarone_1.4_24h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_2	1.4	uM	24	h	2	NA	003016028019.CEL	003016028015.CEL	study06_CHEMBL633_1.4uM_24h_2
amiodarone_7_24h_1	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_1	7	uM	24	h	1	NA	003016028020.CEL	003016028014.CEL	study06_CHEMBL633_7uM_24h_1
amiodarone_7_24h_2	not specified	amiodarone	CHEMBL633	NA	NA	FALSE	amiodarone_0_24h_2	7	uM	24	h	2	NA	003016028021.CEL	003016028015.CEL	study06_CHEMBL633_7uM_24h_2
amitriptyline_0_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	8	h	1	NA	003016065020.CEL		
amitriptyline_0_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	8	h	2	NA	003016065021.CEL		
amitriptyline_3_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_1	3	uM	8	h	1	NA	003016065022.CEL	003016065020.CEL	study06_CHEMBL629_3uM_8h_1
amitriptyline_3_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_2	3	uM	8	h	2	NA	003016065023.CEL	003016065021.CEL	study06_CHEMBL629_3uM_8h_2
amitriptyline_15_8h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_1	15	uM	8	h	1	NA	003016065024.CEL	003016065020.CEL	study06_CHEMBL629_15uM_8h_1
amitriptyline_15_8h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_8h_2	15	uM	8	h	2	NA	003016065025.CEL	003016065021.CEL	study06_CHEMBL629_15uM_8h_2
amitriptyline_0_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	24	h	1	NA	003016065026.CEL		
amitriptyline_0_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	TRUE		0	uM	24	h	2	NA	003016065027.CEL		
amitriptyline_3_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_1	3	uM	24	h	1	NA	003016065028.CEL	003016065026.CEL	study06_CHEMBL629_3uM_24h_1
amitriptyline_3_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_2	3	uM	24	h	2	NA	003016065029.CEL	003016065027.CEL	study06_CHEMBL629_3uM_24h_2
amitriptyline_15_24h_1	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_1	15	uM	24	h	1	NA	003016065030.CEL	003016065026.CEL	study06_CHEMBL629_15uM_24h_1
amitriptyline_15_24h_2	not specified	amitriptyline	CHEMBL629	NA	NA	FALSE	amitriptyline_0_24h_2	15	uM	24	h	2	NA	003016066001.CEL	003016065027.CEL	study06_CHEMBL629_15uM_24h_2
amphotericin B_0_8h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	TRUE		0	uM	8	h	1	NA	003016107004.CEL		
amphotericin B_0_8h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	TRUE		0	uM	8	h	2	NA	003016107005.CEL		
amphotericin B_0.08_8h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_1	0.08	uM	8	h	1	NA	003016107006.CEL	003016107004.CEL	study06_CHEMBL267345_0.08uM_8h_1
amphotericin B_0.08_8h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_2	0.08	uM	8	h	2	NA	003016107007.CEL	003016107005.CEL	study06_CHEMBL267345_0.08uM_8h_2
amphotericin B_0.4_8h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_1	0.4	uM	8	h	1	NA	003016107008.CEL	003016107004.CEL	study06_CHEMBL267345_0.4uM_8h_1
amphotericin B_0.4_8h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_2	0.4	uM	8	h	2	NA	003016107009.CEL	003016107005.CEL	study06_CHEMBL267345_0.4uM_8h_2
amphotericin B_2_8h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_1	2	uM	8	h	1	NA	003016107010.CEL	003016107004.CEL	study06_CHEMBL267345_2uM_8h_1
amphotericin B_2_8h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_8h_2	2	uM	8	h	2	NA	003016107011.CEL	003016107005.CEL	study06_CHEMBL267345_2uM_8h_2
amphotericin B_0_24h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	TRUE		0	uM	24	h	1	NA	003016107012.CEL		
amphotericin B_0_24h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	TRUE		0	uM	24	h	2	NA	003016107013.CEL		
amphotericin B_0.08_24h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_1	0.08	uM	24	h	1	NA	003016107014.CEL	003016107012.CEL	study06_CHEMBL267345_0.08uM_24h_1
amphotericin B_0.08_24h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_2	0.08	uM	24	h	2	NA	003016107015.CEL	003016107013.CEL	study06_CHEMBL267345_0.08uM_24h_2
amphotericin B_0.4_24h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_1	0.4	uM	24	h	1	NA	003016107016.CEL	003016107012.CEL	study06_CHEMBL267345_0.4uM_24h_1
amphotericin B_0.4_24h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_2	0.4	uM	24	h	2	NA	003016107017.CEL	003016107013.CEL	study06_CHEMBL267345_0.4uM_24h_2
amphotericin B_2_24h_1	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_1	2	uM	24	h	1	NA	003016107018.CEL	003016107012.CEL	study06_CHEMBL267345_2uM_24h_1
amphotericin B_2_24h_2	not specified	amphotericin b	CHEMBL267345	NA	NA	FALSE	amphotericin B_0_24h_2	2	uM	24	h	2	NA	003016107019.CEL	003016107013.CEL	study06_CHEMBL267345_2uM_24h_2
aspirin_0_2h_1	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	2	h	1	NA	003016024019.CEL		
aspirin_0_2h_2	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	2	h	2	NA	003016024020.CEL		
aspirin_120_2h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_1	120	uM	2	h	1	NA	003016024021.CEL	003016024019.CEL	study06_CHEMBL25_120uM_2h_1
aspirin_120_2h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_2	120	uM	2	h	2	NA	003016024022.CEL	003016024020.CEL	study06_CHEMBL25_120uM_2h_2
aspirin_600_2h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_1	600	uM	2	h	1	NA	003016024023.CEL	003016024019.CEL	study06_CHEMBL25_600uM_2h_1
aspirin_600_2h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_2	600	uM	2	h	2	NA	003016024024.CEL	003016024020.CEL	study06_CHEMBL25_600uM_2h_2
aspirin_3000_2h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_1	3000	uM	2	h	1	NA	003016024025.CEL	003016024019.CEL	study06_CHEMBL25_3000uM_2h_1
aspirin_3000_2h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_2h_2	3000	uM	2	h	2	NA	003016024026.CEL	003016024020.CEL	study06_CHEMBL25_3000uM_2h_2
aspirin_0_8h_1	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	8	h	1	NA	003016024027.CEL		
aspirin_0_8h_2	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	8	h	2	NA	003016024028.CEL		
aspirin_120_8h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_1	120	uM	8	h	1	NA	003016024029.CEL	003016024027.CEL	study06_CHEMBL25_120uM_8h_1
aspirin_120_8h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_2	120	uM	8	h	2	NA	003016024030.CEL	003016024028.CEL	study06_CHEMBL25_120uM_8h_2
aspirin_600_8h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_1	600	uM	8	h	1	NA	003016025001.CEL	003016024027.CEL	study06_CHEMBL25_600uM_8h_1
aspirin_600_8h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_2	600	uM	8	h	2	NA	003016025002.CEL	003016024028.CEL	study06_CHEMBL25_600uM_8h_2
aspirin_3000_8h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_1	3000	uM	8	h	1	NA	003016025003.CEL	003016024027.CEL	study06_CHEMBL25_3000uM_8h_1
aspirin_3000_8h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_8h_2	3000	uM	8	h	2	NA	003016025004.CEL	003016024028.CEL	study06_CHEMBL25_3000uM_8h_2
aspirin_0_24h_1	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	24	h	1	NA	003016025005.CEL		
aspirin_0_24h_2	not specified	aspirin	CHEMBL25	NA	NC	TRUE		0	uM	24	h	2	NA	003016025006.CEL		
aspirin_120_24h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_1	120	uM	24	h	1	NA	003016025007.CEL	003016025005.CEL	study06_CHEMBL25_120uM_24h_1
aspirin_120_24h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_2	120	uM	24	h	2	NA	003016025008.CEL	003016025006.CEL	study06_CHEMBL25_120uM_24h_2
aspirin_600_24h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_1	600	uM	24	h	1	NA	003016025009.CEL	003016025005.CEL	study06_CHEMBL25_600uM_24h_1
aspirin_600_24h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_2	600	uM	24	h	2	NA	003016025010.CEL	003016025006.CEL	study06_CHEMBL25_600uM_24h_2
aspirin_3000_24h_1	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_1	3000	uM	24	h	1	NA	003016025011.CEL	003016025005.CEL	study06_CHEMBL25_3000uM_24h_1
aspirin_3000_24h_2	not specified	aspirin	CHEMBL25	NA	NC	FALSE	aspirin_0_24h_2	3000	uM	24	h	2	NA	003016025012.CEL	003016025006.CEL	study06_CHEMBL25_3000uM_24h_2
azathioprine_0_2h_1	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	2	h	1	NA	003016044009.CEL		
azathioprine_0_2h_2	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	2	h	2	NA	003016044010.CEL		
azathioprine_2.9_2h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_1	2.9	uM	2	h	1	NA	003016044011.CEL	003016044009.CEL	study06_CHEMBL1542_2.9uM_2h_1
azathioprine_2.9_2h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_2	2.9	uM	2	h	2	NA	003016044012.CEL	003016044010.CEL	study06_CHEMBL1542_2.9uM_2h_2
azathioprine_14.6_2h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_1	14.6	uM	2	h	1	NA	003016044013.CEL	003016044009.CEL	study06_CHEMBL1542_14.6uM_2h_1
azathioprine_14.6_2h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_2	14.6	uM	2	h	2	NA	003016044014.CEL	003016044010.CEL	study06_CHEMBL1542_14.6uM_2h_2
azathioprine_72.8_2h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_1	72.8	uM	2	h	1	NA	003016044015.CEL	003016044009.CEL	study06_CHEMBL1542_72.8uM_2h_1
azathioprine_72.8_2h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_2h_2	72.8	uM	2	h	2	NA	003016044016.CEL	003016044010.CEL	study06_CHEMBL1542_72.8uM_2h_2
azathioprine_0_8h_1	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	8	h	1	NA	003016044017.CEL		
azathioprine_0_8h_2	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	8	h	2	NA	003016044018.CEL		
azathioprine_2.9_8h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_1	2.9	uM	8	h	1	NA	003016044019.CEL	003016044017.CEL	study06_CHEMBL1542_2.9uM_8h_1
azathioprine_2.9_8h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_2	2.9	uM	8	h	2	NA	003016044020.CEL	003016044018.CEL	study06_CHEMBL1542_2.9uM_8h_2
azathioprine_14.6_8h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_1	14.6	uM	8	h	1	NA	003016044021.CEL	003016044017.CEL	study06_CHEMBL1542_14.6uM_8h_1
azathioprine_14.6_8h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_2	14.6	uM	8	h	2	NA	003016044022.CEL	003016044018.CEL	study06_CHEMBL1542_14.6uM_8h_2
azathioprine_72.8_8h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_1	72.8	uM	8	h	1	NA	003016044023.CEL	003016044017.CEL	study06_CHEMBL1542_72.8uM_8h_1
azathioprine_72.8_8h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_8h_2	72.8	uM	8	h	2	NA	003016044024.CEL	003016044018.CEL	study06_CHEMBL1542_72.8uM_8h_2
azathioprine_0_24h_1	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	24	h	1	NA	003016044025.CEL		
azathioprine_0_24h_2	not specified	azathioprine	CHEMBL1542	GTX	C	TRUE		0	uM	24	h	2	NA	003016044026.CEL		
azathioprine_2.9_24h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_1	2.9	uM	24	h	1	NA	003016044027.CEL	003016044025.CEL	study06_CHEMBL1542_2.9uM_24h_1
azathioprine_2.9_24h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_2	2.9	uM	24	h	2	NA	003016044028.CEL	003016044026.CEL	study06_CHEMBL1542_2.9uM_24h_2
azathioprine_14.6_24h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_1	14.6	uM	24	h	1	NA	003016044029.CEL	003016044025.CEL	study06_CHEMBL1542_14.6uM_24h_1
azathioprine_14.6_24h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_2	14.6	uM	24	h	2	NA	003016044030.CEL	003016044026.CEL	study06_CHEMBL1542_14.6uM_24h_2
azathioprine_72.8_24h_1	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_1	72.8	uM	24	h	1	NA	003016045001.CEL	003016044025.CEL	study06_CHEMBL1542_72.8uM_24h_1
azathioprine_72.8_24h_2	not specified	azathioprine	CHEMBL1542	GTX	C	FALSE	azathioprine_0_24h_2	72.8	uM	24	h	2	NA	003016045002.CEL	003016044026.CEL	study06_CHEMBL1542_72.8uM_24h_2
bendazac_0_8h_1	not specified	bendazac	CHEMBL1089221	NA	NA	TRUE		0	uM	8	h	1	NA	003016102026.CEL		
bendazac_0_8h_2	not specified	bendazac	CHEMBL1089221	NA	NA	TRUE		0	uM	8	h	2	NA	003016102027.CEL		
bendazac_8_8h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_1	8	uM	8	h	1	NA	003016102028.CEL	003016102026.CEL	study06_CHEMBL1089221_8uM_8h_1
bendazac_8_8h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_2	8	uM	8	h	2	NA	003016102029.CEL	003016102027.CEL	study06_CHEMBL1089221_8uM_8h_2
bendazac_40_8h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_1	40	uM	8	h	1	NA	003016102030.CEL	003016102026.CEL	study06_CHEMBL1089221_40uM_8h_1
bendazac_40_8h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_2	40	uM	8	h	2	NA	003016103001.CEL	003016102027.CEL	study06_CHEMBL1089221_40uM_8h_2
bendazac_200_8h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_1	200	uM	8	h	1	NA	003016103002.CEL	003016102026.CEL	study06_CHEMBL1089221_200uM_8h_1
bendazac_200_8h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_8h_2	200	uM	8	h	2	NA	003016103003.CEL	003016102027.CEL	study06_CHEMBL1089221_200uM_8h_2
bendazac_0_24h_1	not specified	bendazac	CHEMBL1089221	NA	NA	TRUE		0	uM	24	h	1	NA	003016103004.CEL		
bendazac_0_24h_2	not specified	bendazac	CHEMBL1089221	NA	NA	TRUE		0	uM	24	h	2	NA	003016103005.CEL		
bendazac_8_24h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_1	8	uM	24	h	1	NA	003016103006.CEL	003016103004.CEL	study06_CHEMBL1089221_8uM_24h_1
bendazac_8_24h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_2	8	uM	24	h	2	NA	003016103007.CEL	003016103005.CEL	study06_CHEMBL1089221_8uM_24h_2
bendazac_40_24h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_1	40	uM	24	h	1	NA	003016103008.CEL	003016103004.CEL	study06_CHEMBL1089221_40uM_24h_1
bendazac_40_24h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_2	40	uM	24	h	2	NA	003016103009.CEL	003016103005.CEL	study06_CHEMBL1089221_40uM_24h_2
bendazac_200_24h_1	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_1	200	uM	24	h	1	NA	003016103010.CEL	003016103004.CEL	study06_CHEMBL1089221_200uM_24h_1
bendazac_200_24h_2	not specified	bendazac	CHEMBL1089221	NA	NA	FALSE	bendazac_0_24h_2	200	uM	24	h	2	NA	003016103011.CEL	003016103005.CEL	study06_CHEMBL1089221_200uM_24h_2
benzbromarone_0_2h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	2	h	1	NA	003016029016.CEL		
benzbromarone_0_2h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	2	h	2	NA	003016029017.CEL		
benzbromarone_4_2h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_1	4	uM	2	h	1	NA	003016029018.CEL	003016029016.CEL	study06_CHEMBL388590_4uM_2h_1
benzbromarone_4_2h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_2	4	uM	2	h	2	NA	003016029019.CEL	003016029017.CEL	study06_CHEMBL388590_4uM_2h_2
benzbromarone_20_2h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_1	20	uM	2	h	1	NA	003016029020.CEL	003016029016.CEL	study06_CHEMBL388590_20uM_2h_1
benzbromarone_20_2h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_2	20	uM	2	h	2	NA	003016029021.CEL	003016029017.CEL	study06_CHEMBL388590_20uM_2h_2
benzbromarone_100_2h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_1	100	uM	2	h	1	NA	003016029022.CEL	003016029016.CEL	study06_CHEMBL388590_100uM_2h_1
benzbromarone_100_2h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_2h_2	100	uM	2	h	2	NA	003016029023.CEL	003016029017.CEL	study06_CHEMBL388590_100uM_2h_2
benzbromarone_0_8h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	8	h	1	NA	003016029024.CEL		
benzbromarone_0_8h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	8	h	2	NA	003016029025.CEL		
benzbromarone_4_8h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_1	4	uM	8	h	1	NA	003016029026.CEL	003016029024.CEL	study06_CHEMBL388590_4uM_8h_1
benzbromarone_4_8h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_2	4	uM	8	h	2	NA	003016029027.CEL	003016029025.CEL	study06_CHEMBL388590_4uM_8h_2
benzbromarone_20_8h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_1	20	uM	8	h	1	NA	003016029028.CEL	003016029024.CEL	study06_CHEMBL388590_20uM_8h_1
benzbromarone_20_8h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_2	20	uM	8	h	2	NA	003016029029.CEL	003016029025.CEL	study06_CHEMBL388590_20uM_8h_2
benzbromarone_100_8h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_1	100	uM	8	h	1	NA	003016029030.CEL	003016029024.CEL	study06_CHEMBL388590_100uM_8h_1
benzbromarone_100_8h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_8h_2	100	uM	8	h	2	NA	003016030001.CEL	003016029025.CEL	study06_CHEMBL388590_100uM_8h_2
benzbromarone_0_24h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	24	h	1	NA	003016030002.CEL		
benzbromarone_0_24h_2	not specified	benzbromarone	CHEMBL388590	NA	NA	TRUE		0	uM	24	h	2	NA	003016030003.CEL		
benzbromarone_4_24h_1	not specified	benzbromarone	CHEMBL388590	NA	NA	FALSE	benzbromarone_0_24h_1	4	uM	24	h	1	NA	003016030004.CEL	003016030002.CEL	study06_CHEMBL388590_4uM_24h_1
